Name,R_1,R_2,RRR_1,RRR_2
A14R7,2.4000000000000004,2.4000000000000004,80.39860414416525,80.39860414416525
A14R8,1.71,2.450000000000002,99.29508583041603,79.59764615112702
A15L1,1.82,3.16,94.98000661467277,69.84073116587685
A15L2,3.27,1.6999999999999997,66.66732040398628,101.106504622535
A15L3,1.7499999999999998,3.4599999999999995,99.6289270513348,61.141317629472105
A15L4,1.8,3.32,95.65008800371686,67.66559710105976
A15L5,3.0900000000000283,2.9799999999999986,70.74825409990856,71.9167377486337
A15L6,3.289999999999999,1.93,68.13512170581375,91.38914903100921
A15L7,1.7300000000000002,1.75,97.7700238334445,97.93687798968394
A15L8,3.289999999999999,1.74,68.13512170581375,97.96870463516547
A15R1,3.320000000000004,3.02,66.96853432549321,71.69505965461342
A15R2,3.1599999999999997,2.9199999999999995,70.07018630242422,72.91920684067088
A15R3,3.25,3.6000000000000005,68.22162291037226,60.43712854708486
A15R4,3.1799999999742785,3.2400000000000126,69.74655266092758,67.99534303947361
A15R5,2.9799999999999986,3.08,71.9167377486337,70.92620638880226
A15R6,3.2799999999999994,3.15,67.87449965452625,69.97010621488656
A15R7,3.1799999999742785,3.08,69.74655266092758,70.92620638880226
A15R8,2.9799999999999986,3.1600000000000006,71.9167377486337,69.74295839809092
A16L1,2.4300000000000006,3.16,79.89986949478443,69.84073116587685
A16L2,1.68,2.45,99.6525631876629,79.59538110746324
A16L3,1.8100000000000003,3.4599999999999995,95.95614563437317,61.141317629472105
A16L4,3.1600000000000006,1.9499999999999997,69.74295839809092,91.06495839468394
A16L5,3.0900000000000283,3.210000000000001,70.74825409990856,68.73171710454288
A16L6,3.2799999999999994,3.2600000000000016,67.87449965452625,67.7519122227926
A16L7,1.8,1.96,95.65008800371686,90.45027015692106
A16L8,2.4000000000000004,2.4300000000000006,80.39860414416525,79.89986949478443
A16R1,1.81,1.68,95.8748204483924,99.6525631876629
A16R2,3.0900000000000283,1.96,70.74825409990856,90.45027015692106
A16R3,3.03,2.4300000000000015,71.53341464630975,79.91564766114065
A16R4,3.1,3.210000000000001,70.752888773442,68.73171710454288
A16R5,1.7899999999999998,1.93,96.14625244938793,91.38914903100921
A16R6,1.68,3.15,99.6525631876629,69.97010621488656
