,2Hz,5Hz,13Hz,21Hz,66Hz,150Hz,LF_Noise,HF_Noise
254.1511352083909,0,0,0,0,0,0,0,1
255.71996937634393,0,0,0,0,0,0,0,1
257.28880354429697,0,0,0,0,0,0,0,1
258.85763771225004,0,0,0,0,0,0,0,1
260.42647188020305,0,0,0,0,0,0,0,1
261.99530604815607,0,0,0,0,0,0,0,1
263.5641402161091,0,0,0,0,0,0,0,1
265.13297438406215,0,0,0,0,0,0,0,1
266.70180855201517,0,0,0,0,0,0,0,1
268.2706427199682,0,0,0,0,0,0,0,1
269.8394768879212,0,0,0,0,0,0,0,1
271.40831105587426,0,0,0,0,0,0,0,1
272.9771452238273,0,0,0,0,0,0,0,1
274.5459793917803,0,0,0,0,0,0,0,1
276.1148135597333,0,0,0,0,0,0,0,1
277.6836477276864,0,0,0,0,0,0,0,1
279.2524818956394,0,0,0,0,0,0,0,1
280.8213160635924,0,0,0,0,0,0,0,1
282.3901502315455,0,0,0,0,0,0,0,1
283.9589843994985,0,0,0,0,0,0,0,1
285.5278185674515,0,0,0,0,0,0,0,1
287.0966527354046,0,0,0,0,0,0,0,1
288.6654869033576,0,0,0,0,0,0,0,1
290.2343210713106,0,0,0,0,0,0,0,1
291.8031552392637,0,0,0,0,0,0,0,1
293.3719894072167,0,0,0,0,0,0,0,1
294.9408235751697,0,0,0,0,0,0,0,1
296.5096577431227,0,0,0,0,0,0,0,1
298.0784919110758,0,0,0,0,0,0,0,1
299.6473260790288,0,0,0,0,0,0,0,1
301.2161602469818,0,0,0,0,1,0,0,1
302.7849944149349,0,0,0,0,1,0,0,1
304.3538285828879,0,0,0,0,1,0,0,1
305.9226627508409,0,0,0,0,1,0,0,1
307.491496918794,0,0,0,0,1,0,0,1
309.060331086747,0,0,0,0,1,0,0,1
310.6291652547,0,0,0,0,1,0,0,1
312.1979994226531,0,0,0,0,1,0,0,1
313.7668335906061,0,0,0,0,1,0,0,1
315.3356677585591,0,0,0,0,1,0,0,1
316.9045019265121,0,0,0,0,1,0,0,1
318.4733360944652,0,0,0,0,1,0,0,1
320.0421702624182,0,0,0,0,1,0,0,1
321.6110044303712,0,0,0,0,1,0,0,1
323.1798385983243,0,0,0,0,1,0,0,1
324.7486727662773,0,0,0,0,1,0,0,1
326.3175069342303,0,0,0,0,0,0,0,1
327.8863411021834,0,0,0,0,0,0,0,1
329.4551752701364,0,0,0,0,0,0,0,1
331.0240094380894,0,0,0,0,0,0,0,1
332.59284360604244,0,0,0,0,0,0,0,1
334.1616777739955,0,0,0,0,0,0,0,1
335.7305119419485,0,0,0,0,0,0,0,1
