Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,cryostat_group,phys_pos,Phys. Position,El. Position,Name,R_1,R_2,RRR_1,RRR_2,Short magnet ID,age,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,Renamed short magnet ID,MTF Status,Magnet_construction_order,QPS Crate Number,Cryostat Number
RB.A45,MB.A13L5,12827.8809,INT,L,A,EVEN,6,83,LBALB.13L5,LBALB_13L5,B13L5_0,DCBA.A13L5.L,MB.B12L5,MB.A13L5,3,12857.8409,12820.0509,B13L5,0,84,13L5,143.0,143,83,A13L5,3.140000000000001,3.15,70.26040277030548,69.97010621488656,2156,14.0,2.0,01E,02C0,10839.0,,,156,0,2
RB.A45,MB.C12L5,12850.0109,INT,L,B,ODD,72,72,LBBLA.12L5,LBBLA_12L5,B12L5_1,DCBA.A13L5.R,MB.B13L5,MB.C12L5,3,12804.3909,12842.1809,B12L5,1,72,12L5,144.0,144,72,C12L5,3.2099999999999995,2.45000000000002,68.37476174248951,79.61488134911514,3219,14.0,3.0,01E,02G,10660.0,,,219,1,0
RB.A45,MB.B12L5,12865.6709,INT,L,A,EVEN,5,82,LBALA.12L5,LBALA_12L5,B11L5_2,DCBA.12L5.L,MB.B11L5,MB.B12L5,4,12910.6226,12857.8409,B11L5,2,83,12L5,145.0,145,82,B12L5,3.0800000000000005,3.6000000000000005,70.76365748864274,60.43712854708486,2211,14.0,2.0,01E,02C9,10292.0,,,211,2,1
RB.A45,MB.A12L5,12881.3309,INT,L,B,ODD,73,73,LBBLC.12L5,LBBLC_12L5,B12L5_2,DCBA.12L5.R,MB.C12L5,MB.A12L5,2,12842.1809,12873.5009,B12L5,2,73,12L5,146.0,146,73,A12L5,3.140000000000001,3.140000000000001,70.26040277030548,70.26040277030548,1185,14.0,1.0,01E,02C9,12679.0,,,185,2,2
RB.A45,MB.B11L5,12918.4526,INT,L,A,EVEN,4,81,LBALA.11L5,LBALA_11L5,B11L5_1,DCBA.11L5.L,MB.B10L5,MB.B11L5,3,12949.6876,12910.6226,B11L5,1,82,11L5,147.0,147,81,B11L5,1.77,1.85,96.7853954664714,94.10394295985525,1182,14.0,1.0,01E,02C9,11387.0,,,182,1,0
RB.A45,MB.A11L5,12934.1126,INT,L,B,ODD,74,74,LBBLP.11L5,LBBLP_11L5,B10L5_0,DCBA.11L5.R,MB.A12L5,MB.A11L5,4,12873.5009,12926.2826,B10L5,0,74,11L5,148.0,148,74,A11L5,3.289999999999999,3.1,68.13512170581375,70.752888773442,3237,14.0,3.0,01E,02B8,12225.0,,,237,0,1
RB.A45,MB.B10L5,12957.5176,INT,L,A,EVEN,3,80,LBALE.10L5,LBALE_10L5,B11L5_0,DCBA.10L5.L,MB.B9L5,MB.B10L5,3,12990.1526,12949.6876,B11L5,0,81,10L5,149.0,149,80,B10L5,3.1,3.1,70.752888773442,70.752888773442,3232,14.0,3.0,01E,02B8,10125.0,,,232,0,0
RB.A45,MB.A10L5,12973.1776,INT,L,B,ODD,75,75,LBBLI.10L5,LBBLI_10L5,B10L5_1,DCBA.10L5.R,MB.A11L5,MB.A10L5,3,12926.2826,12965.3476,B10L5,1,75,10L5,150.0,150,75,A10L5,3.1600000000000006,3.210000000000001,69.74295839809092,68.73171710454288,3235,14.0,3.0,01E,02B8,10927.0,,,235,1,1
RB.A45,MB.B9L5,12997.9826,INT,L,A,EVEN,2,79,LBALE.9L5,LBALE_09L5,B9L5_1,DCBA.9L5.L,MB.B8L5,MB.B9L5,3,13029.2176,12990.1526,B9L5,1,80,09L5,151.0,151,79,B9L5,3.0200000000000027,3.02,71.68679046426837,71.69505965461342,2136,14.0,2.0,01E,02B8,12568.0,,,136,1,0
RB.A45,MB.A9L5,13013.6426,INT,L,B,ODD,76,76,LBBLF.9L5,LBBLF_09L5,B10L5_2,DCBA.9L5.R,MB.A10L5,MB.A9L5,3,12965.3476,13005.8126,B10L5,2,76,09L5,152.0,152,76,A9L5,3.0900000000000283,3.210000000000001,70.74825409990856,68.73171710454288,1193,14.0,1.0,01E,02C9,11332.0,,,193,2,1
