"",3Hz,6Hz,143Hz,20Hz,65Hz,Noise
363.9893229798514,0,0,0,0,0,1
367.35959448892413,0,0,0,0,0,1
370.72986599799685,0,0,0,0,0,1
374.1001375070695,0,0,0,0,0,1
377.4704090161422,0,0,0,0,0,1
380.8406805252149,0,0,0,0,0,1
384.21095203428763,0,0,0,0,0,1
387.5812235433603,0,0,0,0,0,1
390.951495052433,0,0,0,0,0,1
394.3217665615057,0,0,0,0,0,1
397.6920380705784,0,0,0,0,0,1
401.0623095796511,0,0,0,0,0,1
404.4325810887238,0,0,0,0,0,1
407.8028525977965,0,0,0,0,0,1
411.1731241068692,0,0,0,0,0,1
414.5433956159419,0,0,0,0,0,1
417.91366712501457,0,0,0,0,0,1
421.2839386340873,0,0,0,0,0,1
424.65421014315996,0,0,0,0,0,1
428.02448165223274,0,0,0,0,0,1
431.3947531613054,0,0,0,0,0,1
434.76502467037807,0,0,0,0,0,1
438.1352961794508,0,0,0,0,0,1
441.50556768852346,0,0,0,0,0,1
444.87583919759624,0,0,0,0,0,1
448.2461107066689,0,0,0,0,0,1
451.61638221574157,0,0,0,0,0,1
454.9866537248143,0,0,0,0,0,1
458.35692523388695,0,0,0,0,0,1
461.7271967429596,0,0,0,0,0,1
465.0974682520324,0,0,0,0,0,1
468.46773976110507,0,0,0,0,0,1
471.8380112701778,0,0,0,0,0,1
475.20828277925045,0,0,0,0,0,1
478.5785542883231,0,0,0,0,0,1
481.9488257973959,0,0,0,0,0,1
485.31909730646856,0,0,0,0,0,1
488.6893688155413,0,0,0,0,0,1
492.05964032461395,0,0,0,0,0,1
495.4299118336866,0,0,0,0,0,1
498.80018334275934,0,0,0,0,0,1
502.170454851832,0,0,0,0,0,1
505.5407263609048,0,0,0,0,0,1
508.91099786997745,0,0,0,0,0,1
512.2812693790501,0,0,0,0,0,1
515.6515408881229,0,0,0,0,0,1
519.0218123971955,0,0,0,0,0,1
522.3920839062682,0,0,0,0,0,1
525.762355415341,0,0,0,0,0,1
529.1326269244136,0,0,0,0,0,1
532.5028984334864,0,0,0,0,0,1
