"",3Hz,6Hz,143Hz,20Hz,65Hz,Noise,478Hz,185Hz
202.2162905443619,0,0,0,0,0,1,0.0,0.10634203907794774
205.5865620534346,0,0,0,0,0,1,0.0,0.06706782564144805
208.95683356250728,0,0,0,0,0,1,0.0,0.046725043997888106
212.32710507157998,0,0,0,0,0,1,0.03408319225309615,0.036111348159416475
215.6973765806527,0,0,0,0,0,1,0.28084488429629983,0.029087765294818484
219.0676480897254,0,0,0,0,0,1,0.3238677711502361,0.02272087890969118
222.43791959879812,0,0,0,0,0,1,0.0674769633825985,0.018603545991607635
225.80819110787078,0,0,0,0,0,1,0.0,0.016220921429035536
229.17846261694348,0,0,0,0,0,1,0.0,0.014717448827238673
232.5487341260162,0,0,0,0,0,1,0.0,0.01303102227773291
235.9190056350889,0,0,0,0,0,1,0.0,0.011389501915259575
239.28927714416156,0,0,0,0,0,1,0.0,0.009966336148568185
242.65954865323428,0,0,0,0,0,1,0.0,0.009389392889953321
246.02982016230698,0,0,0,0,0,1,0.0,0.008929816103165096
249.40009167137967,0,0,0,0,0,1,0.0,0.0090946833603342
252.7703631804524,0,0,0,0,0,1,0.0,0.008891358844732751
256.14063468952503,0,0,0,0,0,1,0.0,0.00903875541758498
259.51090619859775,0,0,0,0,0,1,0.17293004235706683,0.009400227858679775
262.8811777076705,0,0,0,0,0,1,0.16153870803589468,0.009687141482264182
266.2514492167432,0,0,0,0,0,1,0.08457100046925725,0.009845954353697714
269.62172072581586,0,0,0,0,0,1,0.0,0.010440462969750687
272.9919922348885,0,0,0,0,0,1,0.0,0.011327798142395989
276.36226374396125,0,0,0,0,0,1,0.0,0.012317219502801732
279.732535253034,0,0,0,0,0,1,0.0,0.013266120038199814
283.1028067621067,0,0,0,0,0,1,0.0,0.0148274262508622
286.47307827117936,0,0,0,0,0,1,0.0,0.016835925588473043
289.843349780252,0,0,0,0,0,1,0.0,0.01996207245851133
293.21362128932475,0,0,0,0,0,1,0.0,0.02388198070891113
296.58389279839747,0,0,0,0,0,1,0.0,0.02915008941135688
299.95416430747014,0,0,0,0,0,1,0.0,0.037295612288431
303.32443581654286,0,0,0,0,0,1,0.0,0.04656753750244393
306.6947073256155,0,0,0,0,0,1,0.0,0.050928402259432105
310.06497883468825,0,0,0,0,0,1,0.0,0.05402044604710762
313.43525034376097,0,0,0,0,0,1,0.0,0.0549028664221703
316.80552185283364,0,0,0,0,0,1,0.0,0.05545279671213314
320.17579336190636,0,0,0,0,0,1,0.0,0.05188690784744224
323.546064870979,0,0,0,0,0,1,0.0,0.04189712550053124
326.91633638005175,0,0,0,0,0,1,0.0,0.031109000055361255
330.2866078891244,0,0,0,0,0,1,0.0,0.023023232123804045
333.65687939819713,0,0,0,0,0,1,0.0,0.018247764216514636
337.02715090726986,0,0,0,0,0,1,0.0,0.01469643113460967
340.3974224163425,0,0,0,0,0,1,0.0,0.013227087886726732
343.76769392541524,0,0,0,0,0,1,0.0,0.011587260270880756
347.1379654344879,0,0,0,0,0,1,0.0,0.010422531522126624
350.50823694356063,0,0,0,0,0,1,0.0,0.01015871694018506
353.87850845263335,0,0,0,0,0,1,0.0,0.00948472429003638
357.248779961706,0,0,0,0,0,1,0.0,0.009060277230161297
360.61905147077874,0,0,0,0,0,1,0.0,0.008948798375867076
363.9893229798514,0,0,0,0,0,1,0.06573955413934218,0.008929921636318831
367.35959448892413,0,0,0,0,0,1,0.3549631223174212,0.00874043945749171
370.72986599799685,0,0,0,0,0,1,0.7013408758306406,0.0086733193879496
374.1001375070695,0,0,0,0,0,1,0.38241940952822623,0.009012940990604361
