Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,phys_pos,Name,R_1,R_2,RRR_1,RRR_2
RB.A12,MB.C17R1,746.6807,EXT,R,B,ODD,65,65,LBBRD.17R1,LBBRD_17R1,B17R1_0,DCBB.B17R1.R,MB.B18R1,MB.C17R1,3,776.6407,738.8507,B17R1,0,65,26,C17R1,2.43,2.45000000000002,79.9134887858741,79.61488134911514
RB.A12,MB.A18R1,768.8107,EXT,R,A,EVEN,14,91,LBARA.18R1,LBARA_18R1,B16R1_2,DCBQ.17R1.L,MB.B17R1,MB.A18R1,3,723.1907,760.9807,B16R1,2,92,27,A18R1,2.9199999999999995,2.45,72.91920684067088,79.59538110746324
RB.A12,MB.B18R1,784.4707,EXT,R,B,ODD,64,64,LBBRA.18R1,LBBRA_18R1,B19R1_2,DCBB.18R1.R,MB.A19R1,MB.B18R1,3,814.4307,776.6407,B19R1,2,64,28,B18R1,3.400000000000001,3.400000000000001,65.45791952580721,65.45791952580721
RB.A12,MB.C18R1,800.1307,EXT,R,A,EVEN,15,92,LBARB.18R1,LBARB_18R1,B18R1_0,DCBB.18R1.L,MB.A18R1,MB.C18R1,2,760.9807,792.3007,B18R1,0,93,29,C18R1,1.68,2.450000000000002,99.6525631876629,79.59764615112702
RB.A12,MB.A19R1,822.2607,EXT,R,B,ODD,63,63,LBBRA.19R1,LBBRA_19R1,B19R1_1,DCBB.A19R1.R,MB.C19R1,MB.A19R1,2,845.7507,814.4307,B19R1,1,63,30,A19R1,1.8,3.28,95.65008800371686,67.87449965452625
RB.A12,MB.B19R1,837.9207,EXT,R,A,EVEN,16,93,LBARA.19R1,LBARA_19R1,B18R1_1,DCBB.A19R1.L,MB.C18R1,MB.B19R1,3,792.3007,830.0907,B18R1,1,94,31,B19R1,3.400000000000001,1.83,65.45791952580721,94.71351328593305
RB.A12,MB.C19R1,853.5807,EXT,R,B,ODD,62,62,LBBRD.19R1,LBBRD_19R1,B19R1_0,DCBB.B19R1.R,MB.B20R1,MB.C19R1,3,883.5407,845.7507,B19R1,0,62,32,C19R1,3.400000000000001,1.6999999999999995,65.45791952580721,101.106504622535
RB.A12,MB.A20R1,875.7107,EXT,R,A,EVEN,17,94,LBARA.20R1,LBARA_20R1,B18R1_2,DCBQ.19R1.L,MB.B19R1,MB.A20R1,3,830.0907,867.8807,B18R1,2,95,33,A20R1,1.75,1.7699999999999998,97.93687798968394,97.37175994946976
RB.A12,MB.B20R1,891.3707,EXT,R,B,ODD,61,61,LBBRA.20R1,LBBRA_20R1,B21R1_2,DCBB.20R1.R,MB.A21R1,MB.B20R1,3,921.3307,883.5407,B21R1,2,61,34,B20R1,2.4800000000000004,2.45000000000002,79.10202191429511,79.61488134911514
RB.A12,MB.C20R1,907.0307,EXT,R,A,EVEN,18,95,LBARB.20R1,LBARB_20R1,B20R1_0,DCBB.20R1.L,MB.A20R1,MB.C20R1,2,867.8807,899.2007,B20R1,0,96,35,C20R1,1.7300000000000002,2.45000000000002,97.7700238334445,79.61488134911514
RB.A12,MB.A21R1,929.1607,EXT,R,B,ODD,60,60,LBBRA.21R1,LBBRA_21R1,B21R1_1,DCBB.A21R1.R,MB.C21R1,MB.A21R1,2,952.6507,921.3307,B21R1,1,60,36,A21R1,1.77,3.02,96.7853954664714,71.69505965461342
RB.A12,MB.B21R1,944.8207,EXT,R,A,EVEN,19,96,LBARA.21R1,LBARA_21R1,B20R1_1,DCBB.A21R1.L,MB.C20R1,MB.B21R1,3,899.2007,936.9907,B20R1,1,97,37,B21R1,3.16,1.92,70.07018630242422,92.00434744749462
RB.A12,MB.C21R1,960.4807,EXT,R,B,ODD,59,59,LBBRD.21R1,LBBRD_21R1,B21R1_0,DCBB.B21R1.R,MB.B22R1,MB.C21R1,3,990.4407,952.6507,B21R1,0,59,38,C21R1,2.99,1.92,71.7970833568226,92.00434744749462
RB.A12,MB.A22R1,982.6107,EXT,R,A,EVEN,20,97,LBARA.22R1,LBARA_22R1,B20R1_2,DCBQ.21R1.L,MB.B21R1,MB.A22R1,3,936.9907,974.7807,B20R1,2,98,39,A22R1,3.1600000000000006,3.1600000000000006,69.74295839809092,69.74295839809092
RB.A12,MB.B22R1,998.2707,EXT,R,B,ODD,58,58,LBBRA.22R1,LBBRA_22R1,B23R1_2,DCBB.22R1.R,MB.A23R1,MB.B22R1,3,1028.2307,990.4407,B23R1,2,58,40,B22R1,1.77,1.68,96.7853954664714,100.45740439836791
RB.A12,MB.C22R1,1013.9307,EXT,R,A,EVEN,21,98,LBARB.22R1,LBARB_22R1,B22R1_0,DCBB.22R1.L,MB.A22R1,MB.C22R1,2,974.7807,1006.1007,B22R1,0,99,41,C22R1,1.8,1.92,95.65008800371686,92.00434744749462
RB.A12,MB.A23R1,1036.0607,EXT,R,B,ODD,57,57,LBBRA.23R1,LBBRA_23R1,B23R1_1,DCBB.A23R1.R,MB.C23R1,MB.A23R1,2,1059.5507,1028.2307,B23R1,1,57,42,A23R1,2.43,2.45000000000002,79.9134887858741,79.61488134911514
RB.A12,MB.B23R1,1051.7207,EXT,R,A,EVEN,22,99,LBARA.23R1,LBARA_23R1,B22R1_1,DCBB.A23R1.L,MB.C22R1,MB.B23R1,3,1006.1007,1043.8907,B22R1,1,100,43,B23R1,3.400000000000001,3.21,65.45791952580721,68.07622572204467
RB.A12,MB.C23R1,1067.3807,EXT,R,B,ODD,56,56,LBBRD.23R1,LBBRD_23R1,B23R1_0,DCBB.B23R1.R,MB.B24R1,MB.C23R1,3,1097.3407,1059.5507,B23R1,0,56,44,C23R1,1.77,1.83,96.7853954664714,94.71351328593305
RB.A12,MB.A24R1,1089.5107,EXT,R,A,EVEN,23,100,LBARA.24R1,LBARA_24R1,B22R1_2,DCBQ.23R1.L,MB.B23R1,MB.A24R1,3,1043.8907,1081.6807,B22R1,2,101,45,A24R1,1.82,3.28,94.98000661467276,67.87449965452625
RB.A12,MB.B24R1,1105.1707,EXT,R,B,ODD,55,55,LBBRA.24R1,LBBRA_24R1,B25R1_2,DCBB.24R1.R,MB.A25R1,MB.B24R1,3,1135.1307,1097.3407,B25R1,2,55,46,B24R1,1.67,1.7699999999999998,100.31451566000446,97.37175994946976
RB.A12,MB.C24R1,1120.8307,EXT,R,A,EVEN,24,101,LBARB.24R1,LBARB_24R1,B24R1_0,DCBB.24R1.L,MB.A24R1,MB.C24R1,2,1081.6807,1113.0007,B24R1,0,102,47,C24R1,2.9199999999999995,1.75,72.91920684067088,96.83501939690876
RB.A12,MB.A25R1,1142.9607,EXT,R,B,ODD,54,54,LBBRA.25R1,LBBRA_25R1,B25R1_1,DCBB.A25R1.R,MB.C25R1,MB.A25R1,2,1166.4507,1135.1307,B25R1,1,54,48,A25R1,2.43,3.28,79.9134887858741,67.87449965452625
RB.A12,MB.B25R1,1158.6207,EXT,R,A,EVEN,25,102,LBARA.25R1,LBARA_25R1,B24R1_1,DCBB.A25R1.L,MB.C24R1,MB.B25R1,3,1113.0007,1150.7907,B24R1,1,103,49,B25R1,3.320000000000004,3.02,66.96853432549321,71.69505965461342
RB.A12,MB.C25R1,1174.2807,EXT,R,B,ODD,53,53,LBBRD.25R1,LBBRD_25R1,B25R1_0,DCBB.B25R1.R,MB.B26R1,MB.C25R1,3,1204.2407,1166.4507,B25R1,0,53,50,C25R1,2.45,3.28,79.59538110746324,67.87449965452625
RB.A12,MB.A26R1,1196.4107,EXT,R,A,EVEN,26,103,LBARA.26R1,LBARA_26R1,B24R1_2,DCBQ.25R1.L,MB.B25R1,MB.A26R1,3,1150.7907,1188.5807,B24R1,2,104,51,A26R1,1.77,1.92,96.7853954664714,92.00434744749462
RB.A12,MB.B26R1,1212.0707,EXT,R,B,ODD,52,52,LBBRA.26R1,LBBRA_26R1,B27R1_2,DCBB.26R1.R,MB.A27R1,MB.B26R1,3,1242.0307,1204.2407,B27R1,2,52,52,B26R1,1.6999999999999995,1.83,101.106504622535,94.71351328593305
RB.A12,MB.C26R1,1227.7307,EXT,R,A,EVEN,27,104,LBARB.26R1,LBARB_26R1,B26R1_0,DCBB.26R1.L,MB.A26R1,MB.C26R1,2,1188.5807,1219.9007,B26R1,0,105,53,C26R1,2.43,2.450000000000002,79.9134887858741,79.59764615112702
RB.A12,MB.A27R1,1249.8607,EXT,R,B,ODD,51,51,LBBRA.27R1,LBBRA_27R1,B27R1_1,DCBB.A27R1.R,MB.C27R1,MB.A27R1,2,1273.3507,1242.0307,B27R1,1,51,54,A27R1,1.67,3.28,100.31451566000446,67.87449965452625
RB.A12,MB.B27R1,1265.5207,EXT,R,A,EVEN,28,105,LBARA.27R1,LBARA_27R1,B26R1_1,DCBB.A27R1.L,MB.C26R1,MB.B27R1,3,1219.9007,1257.6907,B26R1,1,106,55,B27R1,1.77,3.02,96.7853954664714,71.69505965461342
RB.A12,MB.C27R1,1281.1807,EXT,R,B,ODD,50,50,LBBRD.27R1,LBBRD_27R1,B27R1_0,DCBB.B27R1.R,MB.B28R1,MB.C27R1,3,1311.1407,1273.3507,B27R1,0,50,56,C27R1,2.5,3.21,78.792057073657,68.07622572204467
RB.A12,MB.A28R1,1303.3107,EXT,R,A,EVEN,29,106,LBARA.28R1,LBARA_28R1,B26R1_2,DCBQ.27R1.L,MB.B27R1,MB.A28R1,3,1257.6907,1295.4807,B26R1,2,107,57,A28R1,2.4800000000000004,2.5,79.10202191429511,78.792057073657
RB.A12,MB.B28R1,1318.9707,EXT,R,B,ODD,49,49,LBBRA.28R1,LBBRA_28R1,B29R1_2,DCBB.28R1.R,MB.A29R1,MB.B28R1,3,1348.9307,1311.1407,B29R1,2,49,58,B28R1,1.83,3.2799999999999474,94.71351328593305,68.32892020652831
RB.A12,MB.C28R1,1334.6307,EXT,R,A,EVEN,30,107,LBARB.28R1,LBARB_28R1,B28R1_0,DCBB.28R1.L,MB.A28R1,MB.C28R1,2,1295.4807,1326.8007,B28R1,0,108,59,C28R1,2.4800000000000004,2.43,79.10202191429511,79.9134887858741
RB.A12,MB.A29R1,1356.7607,EXT,R,B,ODD,48,48,LBBRA.29R1,LBBRA_29R1,B29R1_1,DCBB.A29R1.R,MB.C29R1,MB.A29R1,2,1380.2507,1348.9307,B29R1,1,48,60,A29R1,3.25,1.92,68.09926754352253,92.00434744749462
RB.A12,MB.B29R1,1372.4207,EXT,R,A,EVEN,31,108,LBARA.29R1,LBARA_29R1,B28R1_1,DCBB.A29R1.L,MB.C28R1,MB.B29R1,3,1326.8007,1364.5907,B28R1,1,109,61,B29R1,3.16,3.21,70.07018630242422,68.07622572204467
RB.A12,MB.C29R1,1388.0807,EXT,R,B,ODD,47,47,LBBRD.29R1,LBBRD_29R1,B29R1_0,DCBB.B29R1.R,MB.B30R1,MB.C29R1,3,1418.0407,1380.2507,B29R1,0,47,62,C29R1,2.5,2.5,78.792057073657,78.792057073657
RB.A12,MB.A30R1,1410.2107,EXT,R,A,EVEN,32,109,LBARA.30R1,LBARA_30R1,B28R1_2,DCBQ.29R1.L,MB.B29R1,MB.A30R1,3,1364.5907,1402.3807,B28R1,2,110,63,A30R1,1.6999999999999995,1.6999999999999995,101.106504622535,101.106504622535
RB.A12,MB.B30R1,1425.8707,EXT,R,B,ODD,46,46,LBBRA.30R1,LBBRA_30R1,B31R1_2,DCBB.30R1.R,MB.A31R1,MB.B30R1,3,1455.8307,1418.0407,B31R1,2,46,64,B30R1,3.16,3.02,70.07018630242422,71.69505965461342
RB.A12,MB.C30R1,1441.5307,EXT,R,A,EVEN,33,110,LBARB.30R1,LBARB_30R1,B30R1_0,DCBB.30R1.L,MB.A30R1,MB.C30R1,2,1402.3807,1433.7007,B30R1,0,111,65,C30R1,3.140000000000001,3.140000000000001,70.26040277030548,70.26040277030548
RB.A12,MB.A31R1,1463.6607,EXT,R,B,ODD,45,45,LBBRA.31R1,LBBRA_31R1,B31R1_1,DCBB.A31R1.R,MB.C31R1,MB.A31R1,2,1487.1507,1455.8307,B31R1,1,45,66,A31R1,3.2799999999999474,3.2799999999999474,68.32892020652831,68.32892020652831
RB.A12,MB.B31R1,1479.3207,EXT,R,A,EVEN,34,111,LBARA.31R1,LBARA_31R1,B30R1_1,DCBB.A31R1.L,MB.C30R1,MB.B31R1,3,1433.7007,1471.4907,B30R1,1,112,67,B31R1,1.6999999999999995,1.92,101.106504622535,92.00434744749462
RB.A12,MB.C31R1,1494.9807,EXT,R,B,ODD,44,44,LBBRD.31R1,LBBRD_31R1,B31R1_0,DCBB.B31R1.R,MB.B32R1,MB.C31R1,3,1524.9407,1487.1507,B31R1,0,44,68,C31R1,2.5,3.2099999999999995,78.792057073657,68.37476174248951
RB.A12,MB.A32R1,1517.1107,EXT,R,A,EVEN,35,112,LBARA.32R1,LBARA_32R1,B30R1_2,DCBQ.31R1.L,MB.B31R1,MB.A32R1,3,1471.4907,1509.2807,B30R1,2,113,69,A32R1,2.43,2.450000000000002,79.9134887858741,79.59764615112702
RB.A12,MB.B32R1,1532.7707,EXT,R,B,ODD,43,43,LBBRA.32R1,LBBRA_32R1,B33R1_1,DCBB.32R1.R,MB.A33R1,MB.B32R1,3,1562.7307,1524.9407,B33R1,1,43,70,B32R1,3.27,3.28,66.66732040398628,67.87449965452625
RB.A12,MB.C32R1,1548.4307,EXT,R,A,EVEN,36,113,LBARB.32R1,LBARB_32R1,B32R1_0,DCBB.32R1.L,MB.A32R1,MB.C32R1,2,1509.2807,1540.6007,B32R1,0,114,71,C32R1,2.5,3.28,78.792057073657,67.87449965452625
RB.A12,MB.A33R1,1570.5607,EXT,R,B,ODD,42,42,LBBRA.33R1,LBBRA_33R1,B33R1_0,DCBB.A33R1.R,MB.C33R1,MB.A33R1,2,1594.0507,1562.7307,B33R1,0,42,72,A33R1,3.2799999999999474,3.2799999999999474,68.32892020652831,68.32892020652831
RB.A12,MB.B33R1,1586.2207,EXT,R,A,EVEN,37,114,LBARA.33R1,LBARA_33R1,B32R1_1,DCBB.A33R1.L,MB.C32R1,MB.B33R1,3,1540.6007,1578.3907,B32R1,1,115,73,B33R1,2.5,3.6000000000000005,78.792057073657,60.43712854708486
RB.A12,MB.C33R1,1601.8807,EXT,R,B,ODD,41,41,LBBRD.33R1,LBBRD_33R1,B34L2_2,DCBB.B33R1.R,MB.B34R1,MB.C33R1,3,1631.8407,1594.0507,B34L2,2,41,74,C33R1,2.68281755386508,2.68281755386508,75.0,75.0
RB.A12,MB.A34R1,1624.0107,EXT,R,A,EVEN,38,115,LBARA.34R1,LBARA_34R1,B32R1_2,DCBQ.33R1.L,MB.B33R1,MB.A34R1,3,1578.3907,1616.1807,B32R1,2,116,75,A34R1,2.45,1.6999999999999995,79.59538110746324,101.106504622535
RB.A12,MB.B34R1,1639.6707,EXT,R,B,ODD,40,40,LBBRA.34R1,LBBRA_34R1,B34L2_1,DCBB.34R1.R,MB.C34L2,MB.B34R1,3,1669.6307,1631.8407,B34L2,1,40,76,B34R1,3.16,2.979999999999998,70.07018630242422,71.9167377486337
RB.A12,MB.C34R1,1655.3307,EXT,R,A,EVEN,39,116,LBARB.34R1,LBARB_34R1,B34R1_0,DCBB.34R1.L,MB.A34R1,MB.C34R1,2,1616.1807,1647.5007,B34R1,0,117,77,C34R1,3.2099999999999995,3.2799999999999474,68.37476174248951,68.32892020652831
RB.A12,MB.C34L2,1677.4607,EXT,R,B,ODD,39,39,LBBRA.34L2,LBBRA_34L2,B34L2_0,DCBB.B34L2.R,MB.A34L2,MB.C34L2,2,1700.9507,1669.6307,B34L2,0,39,78,C34L2,3.27,3.28,66.66732040398628,67.87449965452625
RB.A12,MB.B34L2,1693.1207,EXT,R,A,EVEN,40,117,LBARA.34L2,LBARA_34L2,B34R1_1,DCBB.B34L2.L,MB.C34R1,MB.B34L2,3,1647.5007,1685.2907,B34R1,1,118,79,B34L2,1.6999999999999995,1.6999999999999995,101.106504622535,101.106504622535
RB.A12,MB.A34L2,1708.7807,EXT,R,B,ODD,38,38,LBBRD.34L2,LBBRD_34L2,B32L2_2,DCBB.A34L2.R,MB.B33L2,MB.A34L2,3,1738.7407,1700.9507,B32L2,2,38,80,A34L2,1.6999999999999995,3.02,101.106504622535,71.69505965461342
RB.A12,MB.C33L2,1730.9107,EXT,R,A,EVEN,41,118,LBARA.33L2,LBARA_33L2,B33L2_0,DCBQ.33L2.L,MB.B34L2,MB.C33L2,3,1685.2907,1723.0807,B33L2,0,119,81,C33L2,1.81,3.28,95.8748204483924,67.87449965452625
RB.A12,MB.B33L2,1746.5707,EXT,R,B,ODD,37,37,LBBRA.33L2,LBBRA_33L2,B32L2_1,DCBB.33L2.R,MB.C32L2,MB.B33L2,3,1776.5307,1738.7407,B32L2,1,37,82,B33L2,3.2799999999999474,3.2799999999999474,68.32892020652831,68.32892020652831
RB.A12,MB.A33L2,1762.2307,EXT,R,A,EVEN,42,119,LBARB.33L2,LBARB_33L2,B33L2_1,DCBB.33L2.L,MB.C33L2,MB.A33L2,2,1723.0807,1754.4007,B33L2,1,120,83,A33L2,3.140000000000001,3.140000000000001,70.26040277030548,70.26040277030548
RB.A12,MB.C32L2,1784.3607,EXT,R,B,ODD,36,36,LBBRA.32L2,LBBRA_32L2,B32L2_0,DCBB.B32L2.R,MB.A32L2,MB.C32L2,2,1807.8507,1776.5307,B32L2,0,36,84,C32L2,2.5,1.92,78.792057073657,92.00434744749462
RB.A12,MB.B32L2,1800.0207,EXT,R,A,EVEN,43,120,LBARA.32L2,LBARA_32L2,B33L2_2,DCBB.B32L2.L,MB.A33L2,MB.B32L2,3,1754.4007,1792.1907,B33L2,2,121,85,B32L2,3.2799999999999474,2.45,68.32892020652831,79.59538110746324
RB.A12,MB.A32L2,1815.6807,EXT,R,B,ODD,35,35,LBBRD.32L2,LBBRD_32L2,B30L2_2,DCBB.A32L2.R,MB.B31L2,MB.A32L2,3,1845.6407,1807.8507,B30L2,2,35,86,A32L2,3.320000000000004,3.16,66.96853432549321,70.07018630242422
RB.A12,MB.C31L2,1837.8107,EXT,R,A,EVEN,44,121,LBARA.31L2,LBARA_31L2,B31L2_0,DCBQ.31L2.L,MB.B32L2,MB.C31L2,3,1792.1907,1829.9807,B31L2,0,122,87,C31L2,2.45,3.400000000000001,79.59538110746324,65.45791952580721
RB.A12,MB.B31L2,1853.4707,EXT,R,B,ODD,34,34,LBBRA.31L2,LBBRA_31L2,B30L2_1,DCBB.31L2.R,MB.C30L2,MB.B31L2,3,1883.4307,1845.6407,B30L2,1,34,88,B31L2,3.210000000000001,3.21,68.73171710454288,68.07622572204467
RB.A12,MB.A31L2,1869.1307,EXT,R,A,EVEN,45,122,LBARB.31L2,LBARB_31L2,B31L2_1,DCBB.31L2.L,MB.C31L2,MB.A31L2,2,1829.9807,1861.3007,B31L2,1,123,89,A31L2,2.68281755386508,2.68281755386508,75.0,75.0
RB.A12,MB.C30L2,1891.2607,EXT,R,B,ODD,33,33,LBBRA.30L2,LBBRA_30L2,B30L2_0,DCBB.B30L2.R,MB.A30L2,MB.C30L2,2,1914.7507,1883.4307,B30L2,0,33,90,C30L2,1.6999999999999995,3.28,101.106504622535,67.87449965452625
RB.A12,MB.B30L2,1906.9207,EXT,R,A,EVEN,46,123,LBARA.30L2,LBARA_30L2,B31L2_2,DCBB.B30L2.L,MB.A31L2,MB.B30L2,3,1861.3007,1899.0907,B31L2,2,124,91,B30L2,2.5,1.83,78.792057073657,94.71351328593305
RB.A12,MB.A30L2,1922.5807,EXT,R,B,ODD,32,32,LBBRD.30L2,LBBRD_30L2,B28L2_2,DCBB.A30L2.R,MB.B29L2,MB.A30L2,3,1952.5407,1914.7507,B28L2,2,32,92,A30L2,1.77,3.320000000000004,96.7853954664714,66.96853432549321
RB.A12,MB.C29L2,1944.7107,EXT,R,A,EVEN,47,124,LBARA.29L2,LBARA_29L2,B29L2_0,DCBQ.29L2.L,MB.B30L2,MB.C29L2,3,1899.0907,1936.8807,B29L2,0,125,93,C29L2,3.2799999999999474,2.45,68.32892020652831,79.59538110746324
