,Unnamed: 0,Circuit Name,Circuit Family,Period,Date (FGC),Time (FGC),FPA Reason,Timestamp_PIC,Delta_t(FGC-PIC),Delta_t(EE_even-PIC),Delta_t(EE_odd-PIC),Ramp rate,Plateau duration,I_Q_circ,MIITS_circ,I_Earth_max,EE analysis,V feeler analysis,U_EE_max_ODD,U_EE_max_EVEN,Position,I_Q_M,Nr in Q event,Delta_t(iQPS-PIC),nQPS crate name,Delta_t(nQPS-PIC),Type of Quench,Quench origin,Quench count,QDS trigger origin,dU_iQPS/dt,V_symm_max,dV_symm/dt,R_DL_max,I at R_DL_max,QH analysis,Short magnet ID,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,dI_Q_Acc,dI_Q_LHC,Comment,Analysis performed by,lhcsmapi version,lhcsm notebook version,Unnamed: 46,Unnamed: 47,timestamp_fgc
62,64,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,C28R1,10934.0,1,-10.0,,,Training,INT,1.0,iQPS,6.29999999999999,,,13,,,2313.0,2.0,01E,02C9,8954,1980,,,,,,,,1.49289050614e+18
63,65,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,A29R1,5986.0,2,59667.0,,,GHe propagation,,,iQPS,0.519083969465649,,,16,,,2318.0,2.0,01E,02C9,10659,-,,,,,,,,1.49289050614e+18
64,66,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,B28R1,5947.0,3,60200.0,,,GHe propagation,,,iQPS,1.6060606060606,,,49,,,1365.0,1.0,01E,02B5,12274,-,,,,,,,,1.49289050614e+18
65,67,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,B29R1,4531.0,4,85336.0,,,GHe propagation,,,iQPS,0.39999999999999997,,,20,,,2405.0,2.0,01E,02C9,12244,-,,,,,,,,1.49289050614e+18
66,68,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,C29R1,2610.0,5,134806.0,,,GHe propagation,,,iQPS,0.15,0.15,0.3,5,,,2332.0,2.0,01E,02C9,11165,-,,,,,,,,1.49289050614e+18
67,69,RB.A12,RB,HWC 2017,2017-04-22 00:00:00,21:48:26,Magnet quench,,,,,,,,,,,,,,A28R1,650.0,6,265000.0,,,GHe propagation,,,nQPS,,0.5,0.0446428571428571,,,,2361.0,2.0,01E,02C9,11856,-,,,,,,,,1.49289050614e+18
68,70,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,A25R1,11055.0,1,-8.0,,,Training,EXT,2.0,iQPS,9.090909090909092,,,36,,,1368.0,1.0,01E,02B5,12343,-1288,,,,,,,,1.4929469411e+18
69,71,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,B25R1,11055.0,2,260.0,,,EM disturbance,INT,,iQPS,1,,,30,,,2407.0,2.0,01B,02D,11657,-,,,,,,,,1.4929469411e+18
70,72,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,C25R1,11055.0,3,450.0,,,EM disturbance,INT,,iQPS,1,,,15,,,2380.0,2.0,01E,02C9,11320,-,,,,,,,,1.4929469411e+18
71,73,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,C24R1,1238.0,4,204839.0,,,GHe propagation,,,nQPS,,0.53,0.1432432432432432,,,,2328.0,2.0,01E,02C9,12351,-,,Offsets and transient signals on diode leads do not allow proper R calculation: to be checked in more details,,,,,,1.4929469411e+18
72,74,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,A26R1,360.0,5,327239.0,,,GHe propagation,,,nQPS,,0.584,0.0224615384615384,,,,2323.0,2.0,01E,02C9,12074,-,,Offsets and transient signals on diode leads do not allow proper R calculation: to be checked in more details,,,,,,1.4929469411e+18
73,75,RB.A12,RB,HWC 2017,2017-04-23 00:00:00,13:29:01,Magnet quench,,,,,,,,,,,,,,A24R1,360.0,6,327339.0,,,nQPS lost reference,,,nQPS,,,,,,,2315.0,2.0,01E,02C9,12374,-,,no current in the diode to calculate the R of diode leads,,,,,,1.4929469411e+18
74,76,RB.A12,RB,Operation 2017,2017-08-12 00:00:00,12:15:05,Magnet quench,,,,,,,,,,,,,,C16L2,10979.0,1,,,,Beam-induced,INT,,iQPS,33.333333333333336,,,23,,,2383.0,2.0,01E,02C9,12142,-,,Fast dV_QS0/dt due to beam losses,,,,,,1.5025329058e+18
75,77,RB.A12,RB,Operation 2017,2017-08-12 00:00:00,12:15:05,Magnet quench,,,,,,,,,,,,,,B16L2,6527.0,2,,,,GHe propagation,EXT,,iQPS,0.5,0.1,0.5,60,,,1338.0,1.0,01E,02B8,12078,-,,,,,,,,1.5025329058e+18
76,78,RB.A12,RB,Operation 2017,2017-08-12 00:00:00,12:15:05,Magnet quench,,,,,,,,,,,,,,A16L2,6526.0,3,,,,EM disturbance,INT,,iQPS,2.5,,,45,,,2390.0,2.0,01E,02C9,10884,-,,dV_QSO/dt very approximative,,,,,,1.5025329058e+18
77,79,RB.A12,RB,Operation 2017,2017-08-12 00:00:00,12:15:05,Magnet quench,,,,,,,,,,,,,,A17L2,5210.0,4,,,,GHe propagation,INT,,iQPS,1,0.1,1.0,20,,,1411.0,1.0,01B,02C8,11381,-,,,,,,,,1.5025329058e+18
78,80,RB.A12,RB,Operation 2017,2017-08-12 00:00:00,12:15:05,Magnet quench,,,,,,,,,,,,,,B17L2,802.0,5,,,,GHe propagation,INT,,iQPS,0.07142857142857144,0.23,0.0328571428571428,22,,,1363.0,1.0,01E,02B5,10124,-,,,,,,,,1.5025329058e+18
79,81,RB.A12,RB,Operation 2018,2018-06-01 00:00:00,01:11:40,Magnet quench,,,,,,,,,,,,,,B8L2,757.0,1,-186.0,,,Heater-provoked,INT,,nQPS,,,,,,,2311.0,2.0,01E,02C9,10821,-,,Excessive beam losses during injection due large beam emittance from SPS. Strange sequence of heater firing: 2 first heaters fire. 200 ms delay. 2 last heaters fire (see minutes MP3 meeting of 13/6/2018),Per,,,,,1.52780830052e+18
80,82,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,05:20:49,Magnet quench,,,,,,,,,,,,,,A9L2,11177.0,1,,,,Training,EXT,1.0,iQPS,7.142857142857143,,,30,,,3390.0,3.0,01E,02G,12614,-1437,,Heater firing of RQ9.L2 and RQ10.L2 due to mutual coupling,Arjan/Matthias,,,,,1.54381084986e+18
81,83,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,05:20:49,Magnet quench,,,,,,,,,,,,,,B9L2,5875.0,2,,,,Heater-provoked,EXT,,iQPS,2.5,,,13,,,1353.0,1.0,01E,02B8,11226,-,,,Arjan/Matthias,,,,,1.54381084986e+18
82,84,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,05:20:49,Magnet quench,,,,,,,,,,,,,,B8L2,2600.0,3,,,,Heater-provoked,,,iQPS,,0.1,,10,,,2311.0,2.0,01E,02C9,10821,-,,"Very noisy diode lead resistance signal, PM files missing",Arjan/Matthias,,,,,1.54381084986e+18
83,85,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,05:20:49,Magnet quench,,,,,,,,,,,,,,A8L2,1155.0,4,,,,Heater-provoked,EXT,,nQPS,0.016,0.5,0.0555555555555555,14,,,2401.0,2.0,01E,02C9,12195,-,,,Arjan/Matthias,,,,,1.54381084986e+18
84,86,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,13:20:42,Magnet quench,,,,,,,,,,,,,,C19L2,11205.0,1,-10.0,,,Training,INT,2.0,iQPS,5,0.18,,32,,,1358.0,1.0,01E,02B8,11827,-622,,Very clean iQPS signal,Arjan/Matthias,,,,,1.54383964244e+18
85,87,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,13:20:42,Magnet quench,,,,,,,,,,,,,,B19L2,11205.0,2,208.0,,,EM disturbance,INT,,iQPS,0.5,,,27,,,2362.0,2.0,01E,02C9,11807,-,,Very noisy iQPS signal,Arjan/Matthias,,,,,1.54383964244e+18
86,88,RB.A12,RB,HWC Dec 2018,2018-12-03 00:00:00,13:20:42,Magnet quench,,,,,,,,,,,,,,A19L2,11205.0,3,437.0,,,EM disturbance,INT,,nQPS/iQPS,0.5,,,14.5,,,3250.0,3.0,01B,02G,11220,-,,"Clean iQPS signal; I think, it is a nQPS (Zinur)",Arjan/Matthias,,,,,1.54383964244e+18
