"",3Hz,6Hz,13Hz,21Hz,66Hz,150Hz
413.99572649572985,0,0,0,0,1,0
416.66666666667004,0,0,0,0,1,0
419.3376068376102,0,0,0,0,1,0
422.00854700855047,0,0,0,0,1,0
424.6794871794906,0,0,0,0,1,0
427.35042735043083,0,0,0,0,1,0
430.021367521371,0,0,0,0,1,0
432.6923076923112,0,0,0,0,1,0
435.3632478632514,0,0,0,0,1,0
438.03418803419163,0,0,0,0,1,0
440.70512820513176,0,0,0,0,1,0
443.376068376072,0,0,0,0,0,0
446.0470085470122,0,0,0,0,0,0
448.71794871795237,0,0,0,0,0,0
451.38888888889255,0,0,0,0,0,0
454.0598290598328,0,0,0,0,0,0
456.7307692307729,0,0,0,0,0,0
459.40170940171316,0,0,0,0,0,0
462.0726495726533,0,0,0,0,0,0
464.74358974359353,0,0,0,0,0,0
467.4145299145337,0,0,0,0,0,0
470.08547008547396,0,0,0,0,0,0
472.7564102564141,0,0,0,0,0,0
475.4273504273543,0,0,0,0,0,0
478.09829059829445,0,0,0,0,0,0
480.7692307692347,0,0,0,0,0,0
483.4401709401749,0,0,0,0,0,0
486.1111111111151,0,0,0,0,0,0
488.78205128205525,0,0,0,0,0,0
491.45299145299543,0,0,0,0,0,0
494.1239316239356,0,0,0,0,0,0
496.7948717948758,0,0,0,0,0,0
499.46581196581604,0,0,0,0,0,0
502.1367521367562,0,0,0,0,0,0
504.8076923076964,0,0,0,0,0,0
507.4786324786366,0,0,0,0,0,0
510.1495726495768,0,0,0,0,0,0
512.8205128205169,0,0,0,0,0,0
515.4914529914572,0,0,0,0,0,0
518.1623931623974,0,0,0,0,0,0
520.8333333333376,0,0,0,0,0,0
523.5042735042778,0,0,0,0,0,0
526.175213675218,0,0,0,0,0,0
528.8461538461581,0,0,0,0,0,0
531.5170940170983,0,0,0,0,0,0
