,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7
77.4572649572656,0.0,0.0,0.0,0.0,0.09254176214998065,0.0,0.0,0.9549805947990313
80.12820512820578,0.0,0.0,0.0,0.0,0.06461696352870754,0.0,0.0,0.888185843681514
82.79914529914596,0.0,0.0,0.0,0.0,0.0490185015352946,0.0,0.0,0.8577016385578653
85.47008547008616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484057241447813
88.14102564102636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9081835845950986
90.81196581196654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8740471993804325
93.48290598290674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872500144298349
96.15384615384693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394974698684073
98.82478632478713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7862114392479117
101.49572649572733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776696913725225
104.16666666666751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479951891462538
106.83760683760771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7277429353853957
109.50854700854791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317131768935322
112.17948717948809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713705350427519
114.85042735042829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922033056773034
117.52136752136849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793799049666625
120.19230769230867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869883046869956
122.86324786324886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680471618940056
125.53418803418904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6544328740833149
128.20512820512923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6465862115157317
130.87606837606944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176184272403358
133.54700854700963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6185415410297451
136.2179487179498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6260186436706489
138.88888888889002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251165288423827
141.5598290598302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6209235998739574
144.2307692307704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232634796638247
146.9017094017106,0.0,0.0,0.0,0.0,0.0,0.7222648944333014,0.0,0.2426930078973151
149.5726495726508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12106446427750477
152.24358974359097,0.0,0.0,0.0,0.0,0.0,0.7840266940074271,0.0,0.22592645106945272
154.9145299145312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349333843361512
157.58547008547137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240863984562007
160.25641025641156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240511965455092
162.92735042735177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392652413854738
165.59829059829192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497737633250412
168.26923076923214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437396706799162
170.94017094017232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668269550464407
173.6111111111125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6733278111469733
176.28205128205272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7076197402002863
178.9529914529929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7429383678479168
181.6239316239331,0.0,0.0,0.0,0.0,0.04192906805673048,0.0,0.0,0.6400645913716737
184.2948717948733,0.0,0.0,0.0,0.0,0.060453105367529174,0.0,0.0,0.6424945822211053
186.9658119658135,0.0,0.0,0.0,0.0,0.09444789373810897,0.0,0.0,0.6427433091477838
189.63675213675367,0.0,0.0,0.0,0.0,0.1406252380996707,0.0,0.0,0.6537783055532288
192.30769230769386,0.0,0.0,0.0,0.0,0.1630443159258698,0.0,0.0,0.6654272829841139
194.97863247863407,0.0,0.0,0.0,0.0,0.1597836738284586,0.0,0.0,0.6635078310688214
197.64957264957425,0.0,0.0,0.0,0.0,0.14034911197756528,0.0,0.0,0.6589845693354641
200.32051282051444,0.0,0.0,0.0,0.0,0.09908741201107302,0.0,0.0,0.6643654447198084
202.99145299145465,0.0,0.0,0.0,0.0,0.06245622223370989,0.0,0.0,0.6427233147997166
205.66239316239484,0.0,0.0,0.0,0.0,0.038846611826943225,0.0,0.0,0.6415784617023718
208.33333333333502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7168048620599092
211.00427350427523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774920192869912
213.67521367521542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6390817105637879
216.3461538461556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6101090413752268
219.01709401709581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845483138386932
221.688034188036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5745920737927137
224.35897435897618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487528142822062
227.0299145299164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5417642768739752
229.70085470085658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343232081330334
232.37179487179677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534599160277139
235.04273504273698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333717321692751
237.71367521367716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231249206600997
240.38461538461735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508768885655749
243.05555555555756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050972629042456
245.72649572649772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50080701655014
248.3974358974379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502301220723291
251.0683760683781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966278383941723
253.7393162393183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48693767071475974
256.41025641025846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4865151799796298
259.0811965811987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49234081788582634
261.7521367521389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49841880606118455
264.42307692307907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5026175061584872
267.09401709401925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4948811961895256
269.76495726495943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48716203294381577
