,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,start_time,min_time,max_time,min_amplitude,max_amplitude,dU_max,dU_min,dstd_max,dstd_mean,el_peak12_ratio,n_other_quenches,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_magnets,wiggle_area_pos,wiggle_area_elpos
1993,RB,RB.A12,1.61967443502e+18,B13R1,3.0,385.321,0.4009999999999536,1.8009999999999877,0.022240145894505042,0.02578595180639484,0.025585174560546875,-0.025112152099609375,0.010282753118318968,0.0016209749930099712,1.035259252559785,0.0,1.133008074753066,1.2393493985670017,1.4483010769644509,1.0840211521110252,1.3016624864824737,1.235722371701554,7.0,10.0,13.0
1995,RB,RB.A45,1.61967755842e+18,A27R4,0.0,48.121,0.10099999999999909,1.9009999999999962,0.0320521474674047,0.026158920187034695,0.03885173797607422,-0.08528423309326172,0.028826126575003653,0.02233009509179965,0.0,1.0,0.9942651426398947,1.0184008572772432,0.9879403773521828,0.9720858790102669,1.016118088379705,1.0151459089873947,1.0,8.0,10.0
1996,RB,RB.A45,1.61967755842e+18,C27R4,1.0,49.121,0.10099999999999909,1.9009999999999962,0.024787833359067868,0.026300449245023394,0.036956787109375,-0.06206798553466797,0.019937663539256596,0.015466089598955417,1.0358821971663257,0.0,1.0221338574875924,1.000601253352222,1.0589635461282842,1.013499960699481,1.0351530757708478,1.0124248783838703,8.0,10.0,8.0
1997,RB,RB.A45,1.61967755842e+18,C26R4,2.0,157.421,0.20199999999999818,1.8970000000000198,0.019761015574137453,0.015401191711425621,0.028428077697753906,-0.03837776184082031,0.012593652147502491,0.008337821946610537,1.0404686685111295,0.0,0.9990224779890037,0.9576151888219571,0.9383395285308608,1.018708968667741,0.9454116147211954,0.9821040604874093,10.0,9.0,8.0
1998,RB,RB.A45,1.61967755842e+18,B26R4,3.0,369.926,0.3919999999999959,0.0,0.020109061426764357,0.01951444869073446,0.02368927001953125,-0.02653217315673828,0.01141403044067024,0.0020649028700589797,1.4090042120648953,0.0,1.070782231183637,1.0976582473214276,0.4709062042153082,0.4472564723875044,0.7212889903277527,0.6496470005278849,9.0,10.0,12.0
2000,RB,RB.A34,1.61968209978e+18,B21L4,0.0,39.057,0.1039999999999992,1.9050000000000011,0.0433680697491301,0.03119286737944016,0.04169464111328125,-0.07912540435791016,0.02484580510511114,0.01716704856089024,1.1288997176272983,0.0,0.9915979331115041,0.9216901514450683,0.9872857436940385,0.9036251494299002,1.0119847488847837,0.9214356754864713,4.0,11.0,6.0
2001,RB,RB.A34,1.61968209978e+18,A21L4,1.0,84.86,0.0,1.902000000000001,0.020668383465697104,0.016350329317004864,0.03269195556640625,-0.019425392150878906,0.010766069109519626,0.0038291030834429985,1.0160947979327253,0.0,0.9399463032292508,0.6914327687098177,1.7683824210936148,0.7559506285570194,1.0529503545082228,0.6949469008899958,8.0,10.0,8.0
2002,RB,RB.A34,1.61968209978e+18,A22L4,2.0,117.362,0.10000000000000853,1.9000000000000057,0.014963061014811263,0.0285008684794108,0.0274810791015625,-0.06775379180908203,0.01848993285235434,0.013280385449024098,1.048320786053136,0.0,0.9319035265550898,0.95862133000905,0.9579515652740868,0.961530200238039,0.9325432230964319,0.9662408257696772,6.0,9.0,8.0
2004,RB,RB.A34,1.61972824208e+18,B20L4,0.0,52.762,0.0,1.899000000000001,0.06284688648424641,0.029485119016547046,0.03790473937988281,-0.046906471252441406,0.01805586322566789,0.009578257701532346,1.1573438180455402,0.0,0.9782549588462192,0.7942329689563918,1.1580948478493476,1.031168347483459,0.9629467286603943,0.866062163083167,1.0,8.0,8.0
2005,RB,RB.A34,1.61972824208e+18,A21L4,1.0,86.359,0.10099999999999909,1.902000000000001,0.02418264805875836,0.029344167140935795,0.033638954162597656,-0.07201766967773438,0.019689258180026387,0.01567565710975378,1.0913143078684007,0.0,0.9574383944023703,0.9927952421425936,0.9785110194249117,0.9603971748084901,0.980701767351101,0.9894947164150781,0.0,8.0,9.0
