n_components,beta_loss,f_window,weights_corrcoefT_ideal_0,weights_cosine_dist_ideal_1,weights_cosine_dist2_ideal_1,weights_eu_dist_ideal_1,weights_corr_dist_ideal_1,weights_KL_dist_ideal_1,comp_corrcoefT_ideal_0,comp_cosine_dist_ideal_1,comp_cosine_dist2_ideal_1,comp_eu_dist_ideal_1,comp_corr_dist_ideal_1,comp_KL_dist_ideal_1,weights_norm_corrcoefT_ideal_0,weights_norm_cosine_dist_ideal_1,weights_norm_cosine_dist2_ideal_1,weights_norm_eu_dist_ideal_1,weights_norm_corr_dist_ideal_1,weights_norm_KL_dist_ideal_1,comp_norm_corrcoefT_ideal_0,comp_norm_cosine_dist_ideal_1,comp_norm_cosine_dist2_ideal_1,comp_norm_eu_dist_ideal_1,comp_norm_corr_dist_ideal_1,comp_norm_KL_dist_ideal_1
5.0,frobenius,hanning,0.28411417966622776,0.3394601903622372,0.337004805116825,0.005472885994444872,0.895207308893252,inf,0.7593669022863182,0.1747009445781633,0.1747009445781633,0.20617324489258995,0.24063309771368185,0.2871307359918749,0.28411417966622776,0.35090240048980015,0.34980854161559694,0.7820889177325749,0.8735572096424371,inf,0.7593669022863182,0.1747009445781633,0.1747009445781632,0.39322469686371403,0.24063309771368185,0.2871307359918749
5.0,frobenius,bartlett,0.25144594316237956,0.31914003992116774,0.324142571389574,0.004121305783630506,0.8636154689558287,inf,0.7478867267142884,0.18393289825768358,0.1839328982576836,0.1943610055457482,0.25211327328571176,0.30675331249084553,0.25144594316237956,0.32934168692492993,0.3282884592202292,0.7775509281702375,0.8727084318475988,inf,0.7478867267142884,0.1839328982576836,0.18393289825768355,0.42336717181597344,0.25211327328571176,0.30675331249082377
5.0,frobenius,blackman,0.27800765341354633,0.3465698988475611,0.3382560771543619,0.0045354779065391445,0.8328431687098816,inf,0.7455212569325732,0.18612765912354723,0.18612765912354723,0.21077189880746255,0.2544787430674267,0.2959354578962879,0.27800765341354633,0.3375868565741591,0.34148571247225173,0.7716720269388101,0.8043117558135008,inf,0.7455212569325732,0.18612765912354723,0.1861276591235472,0.40907978968996234,0.2544787430674267,0.2959354578962887
5.0,frobenius,flattop,0.29058648120690167,0.30028617049468015,0.3025374665470704,0.005232713395569524,0.6584920535840441,inf,0.6940499974777108,0.2244075453476357,0.2244075453476357,0.27422122389351206,0.30595000252228927,0.32071193284582733,0.29058648120690167,0.28153635880535266,0.32117504515035156,0.7437805453727665,0.6405376407547407,inf,0.6940499974777108,0.22440754534763566,0.22440754534763563,0.46264015541350695,0.30595000252228927,0.3204863063627813
5.0,frobenius,hamming,0.2550240112192216,0.3302237598499578,0.34055141238611697,0.004910536546452597,0.8436210514754117,inf,0.7535062920329331,0.17983880256831952,0.17983880256831952,0.1966634073180845,0.2464937079670669,0.304922228722555,0.2550240112192216,0.3286373127945022,0.33975305523779314,0.7733169446231059,0.8714228112433531,inf,0.7535062920329331,0.17983880256831952,0.17983880256831947,0.41832469668209166,0.2464937079670669,0.3049222287225556
5.0,frobenius,tukey,0.2720578394674499,0.3157267187428272,0.31573524373648554,0.00427513393671142,0.7730585637830872,inf,0.739189471289554,0.18832605753579604,0.18832605753579604,0.1915863972507407,0.26081052871044597,0.3096121586597214,0.2720578394674499,0.31430081946198435,0.32446295283959964,0.7433199573868554,0.7597272556546248,inf,0.739189471289554,0.18832605753579604,0.188326057535796,0.4307780161719267,0.26081052871044597,0.3096121586596
6.0,frobenius,ones,0.33453238052057155,0.26337511918486756,0.298810899896235,0.005357539693220646,0.6425825215240851,inf,0.7288886150792352,0.20191133417176707,0.20191133417176707,0.20158700339653368,0.27111138492076475,0.3316990005078422,0.33453238052057155,0.2670637085402138,0.2725384838180836,0.6995979644453386,0.6258138251750855,inf,0.7288886150792352,0.20191133417176707,0.20191133417176704,0.45225503590833327,0.27111138492076475,0.3316990005078422
6.0,frobenius,hanning,0.26345513744258314,0.3702315552291916,0.3669301577009772,0.004806473018492452,0.8696079153090948,inf,0.7470000174245965,0.19406234096213826,0.19406234096213826,0.21766797219880354,0.25299998257540346,0.31149922034153343,0.26345513744258314,0.38593270966461607,0.37588301063339447,0.8222202791411882,0.9058374517507194,inf,0.7470000174245965,0.19406234096213826,0.19406234096213823,0.4294259852029468,0.2529999825754034,0.31149922034153343
6.0,frobenius,bartlett,0.2833362512304517,0.3344698406764202,0.3395524282520021,0.00548263383113192,0.7603140889497483,inf,0.7373629373326702,0.20283373659560514,0.20283373659560514,0.2147040744901042,0.2626370626673298,0.3247941713592592,0.2833362512304517,0.3352074604581669,0.33992357845899,0.7822207938919694,0.7406859071264383,inf,0.7373629373326702,0.2028337365956051,0.20283373659560502,0.44673373150996387,0.2626370626673298,0.32479417135927385
6.0,frobenius,blackman,0.2619424769464806,0.37135459592002557,0.3956683555839724,0.004873590180814509,0.8611546927778244,inf,0.7318758741963061,0.20556493517291077,0.20556493517291077,0.22279372416195042,0.26812412580369394,0.32006322117557734,0.2619424769464806,0.3780794485910572,0.3700277684206196,0.8237792223807611,0.8575205572687215,inf,0.7318758741963061,0.20556493517291077,0.20556493517291075,0.44768024130671685,0.26812412580369394,0.3200632211755775
