,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,min_time,max_time,min_amplitude,max_amplitude,dstd_max,dU_max,dU_min,dstd_mean,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_area_pos,wiggle_area_elpos
56,RB,RB.A78,1.6157091362e+18,A29R7,2.0,0.09499999999999886,1.9000000000000057,0.023156623840332013,0.02715195973714213,0.02042222770205228,0.04169464111328125,-0.06017303466796875,0.01554421182072221,0.9991421812389816,0.9952627960911964,1.0062268068476625,1.0165057215137503,0.9979344111116857,1.0035691431760587,19.0,12.0
58,RB,RB.A78,1.61574209764e+18,A23L8,0.0,0.0,1.8979999999999961,0.14621065164867275,0.024416440411618723,0.04167751516225501,0.10755252838134766,-0.14214038848876953,0.01963840143163257,1.4342587004325755,0.7819146985060587,1.602024589492527,1.0069162585956861,1.3904802988194498,0.8483511776285795,10.0,6.0
59,RB,RB.A78,1.61574209764e+18,C23L8,1.0,0.09999999999999432,1.8969999999999914,0.1039755675966374,0.02195811113774404,0.02797438606389883,0.055908203125,-0.09997177124023438,0.018573600377292363,1.0660814157189116,0.9585024671623223,1.1957870784698328,1.1972282443099236,1.056338076925567,1.0264095376998772,10.0,9.0
60,RB,RB.A78,1.61574209764e+18,C22L8,2.0,0.20699999999999363,1.899000000000001,0.02421776453654001,0.026715812683105078,0.019654555054205446,0.04169464111328125,-0.06680583953857422,0.015442305285584157,0.9746259596876943,0.9591700303784542,0.9204518853922115,0.9520301592130614,1.0028581365084794,0.9723452848711058,13.0,8.0
61,RB,RB.A78,1.61574209764e+18,B22L8,3.0,0.30400000000000205,1.899000000000001,0.01911124927085517,0.02669537947481926,0.01581392345298022,0.028902053833007812,-0.055434226989746094,0.010294568508425637,0.9541941443066132,1.0278945597131872,0.990361591289477,1.013058683006135,0.9524128048843796,1.0254862359127803,11.0,13.0
63,RB,RB.A78,1.61578851612e+18,B22L8,0.0,0.10300000000000153,1.899000000000001,0.058420658111572266,0.026676466590480175,0.03200993272804367,0.07154464721679688,-0.11513328552246094,0.018127630135342954,1.1022630839814431,0.8719650205619645,1.1620089897813493,0.9468885739948112,1.0482358473467897,0.9202749823612597,8.0,8.0
64,RB,RB.A78,1.61578851612e+18,C21L8,1.0,0.20300000000000296,1.8979999999999961,0.023357214517151448,0.022469583726087095,0.022402947607186016,0.032692909240722656,-0.07675552368164062,0.014146088868341445,0.9906282171740379,0.9791907953376024,0.8905232690486315,0.9489974138689227,0.9706286881754114,0.9404132190841861,9.0,7.0
65,RB,RB.A78,1.61578851612e+18,C22L8,2.0,0.09600000000000364,1.899000000000001,0.025711917877197177,0.02719312667846685,0.020604439842572573,0.035060882568359375,-0.06917476654052734,0.015156005874528722,1.0399214876288467,0.9864461270760431,1.1229200700833835,1.0504119726632042,1.0334358785432203,1.004421670013029,12.0,12.0
68,RB,RB.A78,1.61677706968e+18,B15L8,0.0,0.0,1.8960000000000008,0.055967437593560376,0.02675726539210288,0.022194581107176346,0.05401325225830078,-0.03837776184082031,0.0056930762139332704,1.1171828203866987,0.8662945155032387,0.8812243060750319,0.7469027875913308,1.0341432844206353,0.8529666195632366,7.0,6.0
69,RB,RB.A78,1.61677706968e+18,C14L8,1.0,0.10099999999999909,1.9009999999999962,0.037357829264458076,0.023840177927585415,0.025293758486054585,0.04738044738769531,-0.0739126205444336,0.012726226819034637,0.904154104582693,0.8647097832706533,0.9505179009700578,0.822707009865468,0.8708976228716627,0.8550378004789364,10.0,7.0
70,RB,RB.A78,1.61677706968e+18,B14L8,2.0,0.10099999999999909,1.7959999999999923,0.025054594675699704,0.02290980656941688,0.02020735808193144,0.0374298095703125,-0.061120033264160156,0.014673188161207893,0.972133617310122,0.9769917293221754,0.9701832954449232,0.9789247507115787,0.9708566358323701,0.9792315983481619,15.0,20.0
71,RB,RB.A78,1.61677706968e+18,C15L8,3.0,0.2039999999999793,1.900999999999982,0.018799256958417665,0.021893027644829477,0.01757918731905836,0.0279541015625,-0.05922508239746094,0.01099662299206712,0.965881100176834,1.0110324917965312,0.85309746048587,0.9591645729616564,0.966246283878409,1.0008138922251844,15.0,15.0
72,RB,RB.A78,1.61677706968e+18,A14L8,4.0,0.20199999999999818,1.899000000000001,0.017453625395491335,0.02752842129887756,0.014235851733689289,0.030323028564453125,-0.036955833435058594,0.00670774270661726,0.9797881935053144,0.9713417384602132,0.954008061771224,1.0291065488912157,0.9700377348736331,0.9984395869117673,17.0,8.0
74,RB,RB.A78,1.616826883e+18,A20R7,0.0,0.501,0.0,0.3965082733254679,0.6538656949996948,1.2563137296338796,0.3259744644165039,-5.431643486022949,1.1598689411713643,1.0251064863667143,0.9771420404638673,1.0541048632407466,0.9707516014342389,1.0367302701288403,0.971630756247053,42.0,10.0
