,Unnamed: 0,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
64,64,11.0,frobenius,hanning,0.4302221819668426,0.3348349663084137,0.9401238305178968
65,65,11.0,frobenius,bartlett,0.352799387804916,0.3726955715878891,0.8013492256589296
66,66,11.0,frobenius,blackman,0.4192169836529955,0.3510319799688414,0.9216436232458184
67,67,11.0,frobenius,flattop,0.3623024126630732,0.3507177654639233,0.953047555709114
68,68,11.0,frobenius,hamming,0.3590828150863173,0.3617408479720158,0.7904565350876895
69,69,11.0,frobenius,tukey,0.3455229930451551,0.3772872141503837,0.7232859058822838
70,70,12.0,frobenius,ones,0.3115466091739283,0.4034051772610949,0.8309160566347473
71,71,12.0,frobenius,hanning,0.4339309526956784,0.3254097893098169,0.9509104037372929
72,72,12.0,frobenius,bartlett,0.3990248998883288,0.355524964133267,0.8089881483364064
73,73,12.0,frobenius,blackman,0.4467505119583138,0.3466038944460501,0.9174756337101262
74,74,12.0,frobenius,flattop,0.3863966431263529,0.3483314955881844,0.9584832385027822
75,75,12.0,frobenius,hamming,0.3679585389465004,0.3654065109373652,0.8177951578881426
76,76,12.0,frobenius,tukey,0.3819867260478436,0.373600617552917,0.7270854129300984
77,77,13.0,frobenius,ones,0.3481969797917458,0.3972871621288854,0.8376157062627655
78,78,13.0,frobenius,hanning,0.4482888380975898,0.3204406396453666,0.9517912941050062
79,79,13.0,frobenius,bartlett,0.3986454459327135,0.3498581592914531,0.8323747714673745
80,80,13.0,frobenius,blackman,0.4407540757970021,0.3432138851925647,0.9270193431087314
81,81,13.0,frobenius,flattop,0.3735129087013564,0.349243939878097,0.9591506481805068
82,82,13.0,frobenius,hamming,0.4156637758831408,0.3594418762011389,0.8414197463003283
83,83,13.0,frobenius,tukey,0.3541473480430072,0.368445980332388,0.8153463146876404
84,84,14.0,frobenius,ones,0.3232752688711857,0.3961005484814988,0.8593675695551737
85,85,14.0,frobenius,hanning,0.4545177113100961,0.3199280498247728,0.9452204211270042
86,86,14.0,frobenius,bartlett,0.3957523996907353,0.3483597675986854,0.854914611479223
87,87,14.0,frobenius,blackman,0.4370333238991409,0.3382410797401342,0.9256741331114016
88,88,14.0,frobenius,flattop,0.3918532187681068,0.3510943763791095,0.961797603467439
89,89,14.0,frobenius,hamming,0.3700537875350828,0.3570042978736227,0.8601168967248918
90,90,14.0,frobenius,tukey,0.3867873621181054,0.362247803250783,0.8384805759245689
91,91,15.0,frobenius,ones,0.3349935796731357,0.3913802170359038,0.8843740912911636
92,92,15.0,frobenius,hanning,0.4663012911990586,0.3140948723889734,0.951975003724232
