,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
28,6.0,frobenius,ones,0.24315047775464338,0.44544365043381107,0.6991776419922369
29,6.0,frobenius,hanning,0.3761084555696543,0.3862126145354833,0.8358190215853887
30,6.0,frobenius,bartlett,0.33000218410989596,0.40278020935870806,0.6324808466966035
31,6.0,frobenius,blackman,0.35936798260042624,0.38495206412206695,0.8081842343698172
32,6.0,frobenius,flattop,0.30494700081416315,0.39856460241188973,0.8634124594730264
33,6.0,frobenius,hamming,0.34485641358003155,0.40390409529729976,0.6415868888697904
34,6.0,frobenius,tukey,0.27898575750960114,0.42020675084128367,0.6883920883300874
35,7.0,frobenius,ones,0.2315907200062397,0.448638321265664,0.7205013964183766
36,7.0,frobenius,hanning,0.37385664109450645,0.3581133602721342,0.8700609894688122
37,7.0,frobenius,bartlett,0.3327427922571836,0.3818596288404535,0.6618918443131151
38,7.0,frobenius,blackman,0.4072499738278489,0.3576407653747943,0.8329376812259752
39,7.0,frobenius,flattop,0.33457079026542924,0.37345251463403506,0.8901890786866071
40,7.0,frobenius,hamming,0.3382050006353329,0.3817664507209202,0.6751159408076134
41,7.0,frobenius,tukey,0.32753552018349197,0.42960232077338667,0.5888316989484685
42,8.0,frobenius,ones,0.2675158582868883,0.4324405548257236,0.6791397671887077
43,8.0,frobenius,hanning,0.39075047658526535,0.3554253145982036,0.9005556033389378
44,8.0,frobenius,bartlett,0.3336087684633433,0.3858829072743125,0.6626078689637548
45,8.0,frobenius,blackman,0.357570245788127,0.3359279697202203,0.9075439269918113
46,8.0,frobenius,flattop,0.34413174689566883,0.3593917343406471,0.9299945506130167
47,8.0,frobenius,hamming,0.3409365938056205,0.35744714311742376,0.7280442032577241
48,8.0,frobenius,tukey,0.3412148428593138,0.4070551276031959,0.7028163370817571
49,9.0,frobenius,ones,0.29016140855441824,0.41529291994593687,0.7284714363210926
50,9.0,frobenius,hanning,0.38023857358593915,0.34763242221779433,0.9287835995956445
51,9.0,frobenius,bartlett,0.3458695465722838,0.37651985185822817,0.8315590364902652
52,9.0,frobenius,blackman,0.3722487847344267,0.353264590038506,0.8864196529194742
53,9.0,frobenius,flattop,0.37616862508494825,0.356478610416773,0.9393288946001737
54,9.0,frobenius,hamming,0.33453002541568533,0.3615541225896656,0.7195441520719541
55,9.0,frobenius,tukey,0.3569551138556504,0.3885581591579912,0.7127531584867728
56,10.0,frobenius,ones,0.26401489680345125,0.40790990960909523,0.7854174194856808
57,10.0,frobenius,hanning,0.43703358684375765,0.3332327434614221,0.9319215530783694
58,10.0,frobenius,bartlett,0.37735035569055886,0.37320578578822056,0.8494541890376822
59,10.0,frobenius,blackman,0.3832869014069086,0.350560611456015,0.9031709362560347
60,10.0,frobenius,flattop,0.33535932735558305,0.35096688115280594,0.9387508247266962
61,10.0,frobenius,hamming,0.38104170335542376,0.3604929290001246,0.8457509191295011
62,10.0,frobenius,tukey,0.3459368010269289,0.38175450945259937,0.7574561100398765
63,11.0,frobenius,ones,0.29097631299227256,0.41334329137660963,0.8161631222503385
