,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,dstd_score
2419,RB,RB.A81,1.62848620968e+18,B23R8,3,1.1567708661737914
916,RB,RB.A12,1.62006138664e+18,B24L2,0,1.1563566604420947
663,RB,RB.A78,1.61933014344e+18,A29L8,2,1.1555819801462914
1685,RB,RB.A12,1.6222710066e+18,A16L2,4,1.155479991187343
1798,RB,RB.A45,1.62265535882e+18,A22R4,1,1.1549683378544677
257,RB,RB.A78,1.61773311482e+18,C32L8,1,1.1545254554984634
1229,RB,RB.A45,1.62100142284e+18,C28R4,7,1.1542763498807151
1493,RB,RB.A23,1.621774006e+18,C28L3,1,1.1520306774087454
999,RB,RB.A12,1.62033270758e+18,C16R1,4,1.150667920911575
1846,RB,RB.A45,1.62284113992e+18,A27R4,0,1.1504913352614958
1370,RB,RB.A12,1.62144724002e+18,C20L2,1,1.1504313322380466
2065,RB,RB.A56,1.62520437216e+18,A18L6,2,1.1494259855548123
2709,RB,RB.A23,1.6362757794e+18,B29R2,2,1.1460785299533698
2104,RB,RB.A67,1.62624082874e+18,B33R6,0,1.1448050583235838
734,RB,RB.A45,1.61950393128e+18,B27L5,0,1.1441206507181796
392,RB,RB.A34,1.61843156658e+18,C20L4,2,1.1436127366374058
998,RB,RB.A12,1.62033270758e+18,A16R1,3,1.1426633269089943
2227,RB,RB.A67,1.62744988832e+18,A18R6,0,1.1413062201726716
262,RB,RB.A34,1.6177375267e+18,A19L4,0,1.140151563824367
1705,RB,RB.A12,1.62235257364e+18,B15L2,1,1.1392007332159704
1180,RB,RB.A45,1.62088877406e+18,A22R4,4,1.138251927625536
1938,RB,RB.A56,1.62382344984e+18,C29R5,2,1.1380510800283716
444,RB,RB.A78,1.61859966952e+18,B34L8,0,1.137689516702523
235,RB,RB.A78,1.6176344745e+18,B18L8,2,1.1376232444122205
2559,RB,RB.A81,1.62926484698e+18,A34L1,0,1.1371376420503783
176,RB,RB.A34,1.61742629114e+18,A25L4,5,1.136785046585785
1575,RB,RB.A56,1.62194272388e+18,A10R5,2,1.1363371219196978
888,RB,RB.A12,1.61993595586e+18,A15L2,2,1.1356335857883617
1204,RB,RB.A45,1.62092997424e+18,B13R4,2,1.1347025640608346
106,RB,RB.A34,1.61696569436e+18,A28L4,0,1.1344531097977373
866,RB,RB.A45,1.61988595236e+18,B19R4,4,1.134401564658158
747,RB,RB.A45,1.61953974766e+18,B27L5,0,1.1342257029214655
256,RB,RB.A78,1.61773311482e+18,B32L8,0,1.1335674688574724
833,RB,RB.A34,1.61981042158e+18,A34R3,2,1.1334184406277767
1001,RB,RB.A45,1.62036709102e+18,B17L5,0,1.1326405788625247
1646,RB,RB.A56,1.62213053454e+18,C32R5,6,1.13263699585247
1304,RB,RB.A12,1.62122799686e+18,B8L2,1,1.132311292520159
991,RB,RB.A45,1.62032671274e+18,A9L5,4,1.1317335217139965
1779,RB,RB.A45,1.62256585542e+18,B18R4,3,1.1314815533608864
2786,RB,RB.A78,1.63687560628e+18,A18R7,0,1.1313680345977952
78,RB,RB.A78,1.616826883e+18,A18R7,4,1.13102985977584
2087,RB,RB.A56,1.62559596318e+18,A33L6,1,1.1309097373453754
126,RB,RB.A78,1.61708323274e+18,C25R7,1,1.1300896375019391
2416,RB,RB.A81,1.62848620968e+18,C22R8,0,1.1297275156160898
146,RB,RB.A78,1.61725416238e+18,A26L8,1,1.128757952792065
196,RB,RB.A34,1.61746732036e+18,C29R3,0,1.1280465568902212
2526,RB,RB.A81,1.62909293028e+18,C32L1,1,1.1272616691113415
2583,RB,RB.A67,1.62936021374e+18,A19R6,1,1.1267546110779052
2729,RB,RB.A23,1.6364444896e+18,A20R2,12,1.1263416684478234
1364,RB,RB.A45,1.62144428152e+18,B30L5,0,1.125677847465595
384,RB,RB.A78,1.61841908198e+18,A15R7,1,1.1252764868616802
1396,RB,RB.A23,1.62149440364e+18,C25L3,3,1.1248858122847296
2126,RB,RB.A67,1.62645936052e+18,A34L7,1,1.1243853028427022
1953,RB,RB.A56,1.62395201684e+18,A33L6,2,1.124269366497745
1439,RB,RB.A56,1.62161546048e+18,C14L6,1,1.1233428585103356
2730,RB,RB.A23,1.6364444896e+18,A21R2,13,1.1233178628694114
2353,RB,RB.A81,1.62824863306e+18,B28R8,0,1.1230659131510747
702,RB,RB.A12,1.61941717104e+18,A23L2,3,1.1229570922474315
989,RB,RB.A45,1.62032671274e+18,B23R4,2,1.1223204454400977
2794,RB,RB.A78,1.63695651414e+18,C15L8,3,1.1202509105717124
2168,RB,RB.A67,1.62701809652e+18,B24L7,3,1.119788329587842
809,RB,RB.A34,1.61972824208e+18,A20L4,2,1.119477273148827
757,RB,RB.A12,1.61958689268e+18,C33R1,0,1.1188084380636347
1778,RB,RB.A45,1.62256585542e+18,C18R4,2,1.1187544383650523
2249,RB,RB.A67,1.62762492722e+18,B19R6,1,1.1185338616733
1315,RB,RB.A45,1.62123043182e+18,A28L5,4,1.1179010696628486
684,RB,RB.A45,1.61936977466e+18,C30L5,1,1.1172461178487578
1893,RB,RB.A56,1.62348014216e+18,C13R5,1,1.1168644130883132
2633,RB,RB.A67,1.62982224942e+18,A24L7,0,1.1164450804375485
720,RB,RB.A34,1.61946624452e+18,B24L4,0,1.1163825934455327
1091,RB,RB.A12,1.62067304716e+18,B8L2,2,1.1157591348859903
253,RB,RB.A78,1.61768928602e+18,C34R7,1,1.1156633893647527
1895,RB,RB.A56,1.62348014216e+18,B12R5,3,1.1152895871680262
1240,RB,RB.A12,1.6210560618e+18,C22R1,0,1.115020856644442
837,RB,RB.A34,1.61981042158e+18,A32R3,6,1.11493694151373
2463,RB,RB.A81,1.62869798968e+18,B33L1,0,1.1144103619874068
1312,RB,RB.A45,1.62123043182e+18,A29L5,1,1.114372392416074
1388,RB,RB.A12,1.6214922372e+18,B21L2,2,1.114260756550241
864,RB,RB.A45,1.61988595236e+18,C31R4,2,1.1117510341696057
81,RB,RB.A78,1.616826883e+18,C19R7,7,1.1106131939131747
1645,RB,RB.A56,1.62213053454e+18,B22R5,5,1.11017062442442
1632,RB,RB.A12,1.62209236754e+18,A29R1,2,1.1098117546027708
307,RB,RB.A78,1.61803296204e+18,B26R7,0,1.1084312620171626
2105,RB,RB.A67,1.62624082874e+18,A34R6,1,1.1078589448071876
1352,RB,RB.A12,1.62140111322e+18,A17L2,2,1.1062083711084358
2304,RB,RB.A67,1.62800230112e+18,A27L7,1,1.1060101625745198
197,RB,RB.A34,1.61746732036e+18,A29R3,1,1.1059598295784931
2222,RB,RB.A67,1.6274010189e+18,C22R6,4,1.1049645566582555
1389,RB,RB.A12,1.6214922372e+18,C22L2,3,1.1045622185873394
278,RB,RB.A78,1.6178593291e+18,C26L8,2,1.103910566931123
138,RB,RB.A34,1.61716854382e+18,C29R3,2,1.1038255877009568
1585,RB,RB.A12,1.62196404196e+18,B8R1,4,1.102840844823666
2014,RB,RB.A56,1.62464014688e+18,B18R5,3,1.1027435319687504
68,RB,RB.A78,1.61677706968e+18,B15L8,0,1.1021713507793196
322,RB,RB.A78,1.61807149828e+18,C17R7,1,1.1011601146633638
2759,RB,RB.A78,1.63652782126e+18,B27L8,0,1.1009077239228662
1571,RB,RB.A23,1.62193946054e+18,B17R2,3,1.100361157854841
741,RB,RB.A12,1.61952842234e+18,B16R1,0,1.1002900228129786
1941,RB,RB.A56,1.62386509832e+18,A13L6,1,1.0996160920034577
183,RB,RB.A78,1.6174310013e+18,A21R7,3,1.0994721226701631
1657,RB,RB.A56,1.6221785778e+18,C26L6,0,1.0989418361872765
2231,RB,RB.A81,1.62748648644e+18,A8R8,0,1.0985508200648142
91,RB,RB.A34,1.61691728918e+18,B17L4,1,1.09831652851271
951,RB,RB.A12,1.62019663854e+18,B28L2,3,1.0973252413801413
2150,RB,RB.A67,1.62689081644e+18,B20R6,1,1.097284161586949
1799,RB,RB.A45,1.62265535882e+18,A21R4,2,1.0962899890028985
1200,RB,RB.A12,1.6209273096e+18,A20L2,4,1.0958990759799803
1311,RB,RB.A45,1.62123043182e+18,B29L5,0,1.0945654620550604
1325,RB,RB.A45,1.62127792778e+18,B29L5,2,1.0945052468550232
2491,RB,RB.A81,1.62879411076e+18,B24L1,5,1.0941491742519367
2296,RB,RB.A81,1.6279676835e+18,B27L1,1,1.0924935878261466
95,RB,RB.A34,1.61691728918e+18,A18L4,5,1.0924081351226542
1321,RB,RB.A12,1.62127499292e+18,A18L2,4,1.0917580074234907
944,RB,RB.A45,1.62015606092e+18,B25L5,0,1.0916563018335212
2426,RB,RB.A67,1.62853565468e+18,A19R6,0,1.0913538872243562
2248,RB,RB.A67,1.62762492722e+18,C20L7,0,1.0912828981809877
412,RB,RB.A78,1.61850316942e+18,A28R7,2,1.091233853967393
1841,RB,RB.A12,1.6228215645e+18,B9L2,1,1.091182972351577
1354,RB,RB.A12,1.62140111322e+18,C17L2,4,1.0910781176160123
2613,RB,RB.A67,1.62947022766e+18,B21L7,0,1.0909741963589208
441,RB,RB.A34,1.61858269106e+18,A11L4,0,1.0909479290658741
29,RB,RB.A78,1.6154816296e+18,C22R7,1,1.0894137387268517
2501,RB,RB.A67,1.62883186594e+18,C26R6,8,1.0884354843532387
879,RB,RB.A12,1.61989761654e+18,A29L2,5,1.0880016941079962
2367,RB,RB.A67,1.62831405222e+18,A25L7,1,1.0869526682955497
1144,RB,RB.A12,1.6208315565e+18,B12R1,3,1.0867250041641159
436,RB,RB.A78,1.6185765411e+18,A27R7,0,1.0866053788835073
2659,RB,RB.A78,1.63574560194e+18,B18R7,0,1.0859549356907774
1065,RB,RB.A23,1.62058626384e+18,A13L3,2,1.08473226777613
1890,RB,RB.A56,1.62343277528e+18,A8R5,2,1.0845572274859685
513,RB,RB.A78,1.6188138331e+18,B29L8,2,1.0844250680852805
1825,RB,RB.A12,1.6227907995e+18,A11L2,1,1.08328772006347
836,RB,RB.A34,1.61981042158e+18,C32R3,5,1.083068212579968
737,RB,RB.A34,1.61951851492e+18,B20R3,0,1.083041998689842
2076,RB,RB.A56,1.62546305818e+18,C21R5,1,1.0829540752349556
464,RB,RB.A78,1.61867458034e+18,C26L8,5,1.0828691609888788
2450,RB,RB.A81,1.62862982622e+18,B15R8,0,1.0828193774699992
153,RB,RB.A78,1.61729791084e+18,B30L8,0,1.0825007357291179
1496,RB,RB.A45,1.62177989002e+18,B21L5,0,1.0821549503247947
664,RB,RB.A78,1.61933014344e+18,B29L8,3,1.0817120939831038
1080,RB,RB.A23,1.62065478744e+18,B18L3,0,1.0817069952471432
2484,RB,RB.A67,1.6287815998e+18,A27L7,3,1.0816059471797834
2266,RB,RB.A67,1.62766291314e+18,C30R6,2,1.081403001742651
1801,RB,RB.A56,1.62265725148e+18,C32R5,0,1.0808261925478309
