n_components,beta_loss,f_window,weights_cosine,weights_euclidean,weights_sqeuclidean,weights_seuclidean,weights_correlation,weights_jensenshannon,weights_chebyshev,weights_canberra,comp_cosine,comp_euclidean,comp_sqeuclidean,comp_seuclidean,comp_correlation,comp_jensenshannon,comp_chebyshev,comp_canberra,weights_norm_cosine,weights_norm_euclidean,weights_norm_sqeuclidean,weights_norm_seuclidean,weights_norm_correlation,weights_norm_jensenshannon,weights_norm_chebyshev,weights_norm_canberra,comp_norm_cosine,comp_norm_euclidean,comp_norm_sqeuclidean,comp_norm_seuclidean,comp_norm_correlation,comp_norm_jensenshannon,comp_norm_chebyshev,comp_norm_canberra
4.0,frobenius,blackman,0.2941135597674389,0.005073984964344669,9.61150879139534e-05,1.3571224933755441,0.8225552421376153,inf,0.004883433274455701,2.1178666576115805,0.18554842018149487,0.1963082042535009,0.1860754155326189,1.7498169064834188,0.27106171695561987,0.2899112863500262,0.18553560346825687,2.9829894600216593,0.30133705621224693,0.7312552923412452,0.6045574667674076,2.6231622985095746,0.8828235760036497,inf,0.533913389642301,1.9046823210836303,0.18554842018149478,0.4081597661034726,0.37109684036298973,1.8515872549028185,0.27106171695561987,0.2898821495404682,0.33825541435624124,2.8981613326515596
4.0,frobenius,flattop,0.29194596972962417,0.0050399092326512554,0.0003302130066436023,1.540458618028597,0.7645154405975857,inf,0.005298002567511412,2.1727604070194872,0.20975422832955787,0.24406555631373347,0.2724548328563276,1.7879137609722973,0.30730035536268097,0.30364410389928564,0.23185809487711884,2.9863420727137644,0.28606476743660847,0.6886807308254633,0.61570758663511,2.5965143395166304,0.7402009937366326,inf,0.5314113317359437,1.950933630706998,0.20975422832955778,0.4351237740770411,0.41950845665911574,1.8687191637880443,0.30730035536268097,0.3026065260652813,0.35426075256679823,2.9558047434863743
4.0,frobenius,hamming,0.30107573594928544,0.003825428001977642,0.0001137471696800179,1.3934030248481877,0.8856660465892379,inf,0.004460515530196214,2.260761018311703,0.160623282106863,0.18495463596831632,0.16489218454566582,1.6246187775873346,0.24408542187525584,0.25158764506682846,0.1743791121671911,2.802597253916978,0.31016933587060336,0.7275523553296769,0.6196751816918796,2.629765189876144,0.8708214236708844,inf,0.554068360218565,2.0286984808394553,0.1606232821068629,0.38352136482845034,0.32124656421372594,1.8506355778430406,0.24408542187525584,0.2515876450668285,0.319555290045811,2.6055843222383173
4.0,frobenius,tukey,0.3248102777026539,0.0043452635890278216,0.00023754800295566108,1.7619444796227808,0.850366081048037,inf,0.004079609468522048,2.3792230475893272,0.16545512130596496,0.17440534301121832,0.15203578338686857,1.5818318757163892,0.25053004771355786,0.2784756555220302,0.16090064834564366,2.9456707619198377,0.31095658742926063,0.7309705999315917,0.6023862878658846,2.6224158168202014,0.8149124267246108,inf,0.5408232491701904,2.0427697832787803,0.1654551213059649,0.3912402563083173,0.33091024261193003,1.8744476531673828,0.25053004771355786,0.2784756555220302,0.327584176243533,2.7838834926468943
5.0,frobenius,ones,0.24670365659959206,0.004544215301966013,0.0001230945135855008,1.723602220091552,0.6344576227788269,inf,0.0037922218564242164,2.6903943491866102,0.1339030160276582,0.19239721520319286,0.20193455105227093,1.4738077011889261,0.2544735018317738,0.20577938778951793,0.17808212934365214,2.4252782121162335,0.24063505450397224,0.6478503716013547,0.5086533596665831,2.9117179650628664,0.6037465738007649,inf,0.4853777208614386,2.290309304102215,0.13390301602765814,0.38399640307116256,0.2678060320553164,2.288227707957656,0.2544735018317738,0.20577938778951793,0.29442753947079503,1.9132540239164533
5.0,frobenius,hanning,0.3583108266733247,0.003978434398377615,7.086714705783439e-05,1.4222677704527855,0.8894629589173062,inf,0.004903378919269308,2.6648128126330017,0.1747009445781633,0.20617324489258995,0.21935184163373256,1.7969637191903542,0.24063309771368185,0.2871307359918749,0.18784098616679712,3.448205627748036,0.35376345066853426,0.7880297824996084,0.6932035580490918,2.9694043117483635,0.8859700953354903,inf,0.5732525793304758,2.5001905134769795,0.1747009445781632,0.39322469686371403,0.3494018891563266,1.982178963150582,0.24063309771368185,0.2871307359918749,0.32576750999007525,3.346247878170994
5.0,frobenius,bartlett,0.33965433417832464,0.004690698916038451,0.00012780831652047772,1.596214865719924,0.8537881253919564,inf,0.003764272411732945,2.984664094396776,0.1839328982576836,0.1943610055457482,0.18641343363583027,1.7774390141731642,0.25211327328571176,0.30675331249084553,0.17941623454267674,3.9518224358389817,0.3487116439049004,0.7812660048893806,0.6830960682241088,2.979342294113996,0.8614146063064936,inf,0.5567016653398356,2.6668417097926707,0.18393289825768355,0.42336717181597344,0.36786579651536716,2.1864633117348107,0.25211327328571176,0.30675331249082377,0.34862263795563736,3.8522057843618076
5.0,frobenius,blackman,0.3519614856891093,0.004908459296811896,0.00011916644031012398,1.8134005432386882,0.8429278209909584,inf,0.004631081821112207,2.6932910491797055,0.18612765912354723,0.21077189880746255,0.22788326528615258,1.8619388638416854,0.2544787430674267,0.2959354578962879,0.19255302311517383,3.5674351801548796,0.3330096353039279,0.7914533727400189,0.67953324989593,2.9582835979058215,0.8449721657470889,inf,0.5668624386036643,2.50095637251876,0.1861276591235472,0.40907978968996234,0.37225531824709446,1.9966220253980034,0.2544787430674267,0.2959354578962887,0.33735576312218174,3.46751581633817
5.0,frobenius,flattop,0.31077594625418475,0.005922336255529257,0.00014889704952862206,1.2719100489391573,0.7013866879452174,inf,0.00398445330879604,2.824412880960981,0.2244075453476357,0.27422122389351206,0.33197974657309515,1.9347541020872687,0.30595000252228927,0.32071193284582733,0.25508423385822715,3.8894157633424484,0.30961309954961874,0.7377531480291215,0.6329212451914983,2.914575887469895,0.6326182851498878,inf,0.5416002559403017,2.6708362568694572,0.22440754534763563,0.46264015541350695,0.4488150906952713,2.0686195101741087,0.30595000252228927,0.3204863063627813,0.37441236506677017,3.8542397014621357
5.0,frobenius,hamming,0.33494697089998937,0.005033451048147193,0.00020819832938942076,1.4715228173411992,0.8527496434809412,inf,0.0035093147091611134,2.8795221577923034,0.17983880256831952,0.1966634073180845,0.1885053714170669,1.7740928426357983,0.2464937079670669,0.304922228722555,0.18153957640850452,3.95720748181997,0.33072125364223,0.7791687214132487,0.6870845456636792,2.983481380060205,0.850886754531814,inf,0.5549863626141361,2.5985626913323165,0.17983880256831947,0.41832469668209166,0.35967760513663904,2.1752697290459544,0.2464937079670669,0.3049222287225556,0.34588109410808915,3.8446125358694796
