,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,Circuit,#Segment
93,B18R1_1,DCBB.A19R1.L,MB.C18R1,MB.B19R1,3,792.3007,830.0907,B18R1,1,RB.A12,94
94,B18R1_2,DCBQ.19R1.L,MB.B19R1,MB.A20R1,3,830.0907,867.8807,B18R1,2,RB.A12,95
95,B20R1_0,DCBB.20R1.L,MB.A20R1,MB.C20R1,2,867.8807,899.2007,B20R1,0,RB.A12,96
96,B20R1_1,DCBB.A21R1.L,MB.C20R1,MB.B21R1,3,899.2007,936.9907,B20R1,1,RB.A12,97
97,B20R1_2,DCBQ.21R1.L,MB.B21R1,MB.A22R1,3,936.9907,974.7807,B20R1,2,RB.A12,98
98,B22R1_0,DCBB.22R1.L,MB.A22R1,MB.C22R1,2,974.7807,1006.1007,B22R1,0,RB.A12,99
99,B22R1_1,DCBB.A23R1.L,MB.C22R1,MB.B23R1,3,1006.1007,1043.8907,B22R1,1,RB.A12,100
100,B22R1_2,DCBQ.23R1.L,MB.B23R1,MB.A24R1,3,1043.8907,1081.6807,B22R1,2,RB.A12,101
101,B24R1_0,DCBB.24R1.L,MB.A24R1,MB.C24R1,2,1081.6807,1113.0007,B24R1,0,RB.A12,102
102,B24R1_1,DCBB.A25R1.L,MB.C24R1,MB.B25R1,3,1113.0007,1150.7907,B24R1,1,RB.A12,103
103,B24R1_2,DCBQ.25R1.L,MB.B25R1,MB.A26R1,3,1150.7907,1188.5807,B24R1,2,RB.A12,104
104,B26R1_0,DCBB.26R1.L,MB.A26R1,MB.C26R1,2,1188.5807,1219.9007,B26R1,0,RB.A12,105
105,B26R1_1,DCBB.A27R1.L,MB.C26R1,MB.B27R1,3,1219.9007,1257.6907,B26R1,1,RB.A12,106
106,B26R1_2,DCBQ.27R1.L,MB.B27R1,MB.A28R1,3,1257.6907,1295.4807,B26R1,2,RB.A12,107
107,B28R1_0,DCBB.28R1.L,MB.A28R1,MB.C28R1,2,1295.4807,1326.8007,B28R1,0,RB.A12,108
108,B28R1_1,DCBB.A29R1.L,MB.C28R1,MB.B29R1,3,1326.8007,1364.5907,B28R1,1,RB.A12,109
109,B28R1_2,DCBQ.29R1.L,MB.B29R1,MB.A30R1,3,1364.5907,1402.3807,B28R1,2,RB.A12,110
110,B30R1_0,DCBB.30R1.L,MB.A30R1,MB.C30R1,2,1402.3807,1433.7007,B30R1,0,RB.A12,111
111,B30R1_1,DCBB.A31R1.L,MB.C30R1,MB.B31R1,3,1433.7007,1471.4907,B30R1,1,RB.A12,112
112,B30R1_2,DCBQ.31R1.L,MB.B31R1,MB.A32R1,3,1471.4907,1509.2807,B30R1,2,RB.A12,113
113,B32R1_0,DCBB.32R1.L,MB.A32R1,MB.C32R1,2,1509.2807,1540.6007,B32R1,0,RB.A12,114
114,B32R1_1,DCBB.A33R1.L,MB.C32R1,MB.B33R1,3,1540.6007,1578.3907,B32R1,1,RB.A12,115
115,B32R1_2,DCBQ.33R1.L,MB.B33R1,MB.A34R1,3,1578.3907,1616.1807,B32R1,2,RB.A12,116
116,B34R1_0,DCBB.34R1.L,MB.A34R1,MB.C34R1,2,1616.1807,1647.5007,B34R1,0,RB.A12,117
117,B34R1_1,DCBB.B34L2.L,MB.C34R1,MB.B34L2,3,1647.5007,1685.2907,B34R1,1,RB.A12,118
118,B33L2_0,DCBQ.33L2.L,MB.B34L2,MB.C33L2,3,1685.2907,1723.0807,B33L2,0,RB.A12,119
119,B33L2_1,DCBB.33L2.L,MB.C33L2,MB.A33L2,2,1723.0807,1754.4007,B33L2,1,RB.A12,120
120,B33L2_2,DCBB.B32L2.L,MB.A33L2,MB.B32L2,3,1754.4007,1792.1907,B33L2,2,RB.A12,121
121,B31L2_0,DCBQ.31L2.L,MB.B32L2,MB.C31L2,3,1792.1907,1829.9807,B31L2,0,RB.A12,122
122,B31L2_1,DCBB.31L2.L,MB.C31L2,MB.A31L2,2,1829.9807,1861.3007,B31L2,1,RB.A12,123
123,B31L2_2,DCBB.B30L2.L,MB.A31L2,MB.B30L2,3,1861.3007,1899.0907,B31L2,2,RB.A12,124
124,B29L2_0,DCBQ.29L2.L,MB.B30L2,MB.C29L2,3,1899.0907,1936.8807,B29L2,0,RB.A12,125
125,B29L2_1,DCBB.29L2.L,MB.C29L2,MB.A29L2,2,1936.8807,1968.2007,B29L2,1,RB.A12,126
126,B29L2_2,DCBB.B28L2.L,MB.A29L2,MB.B28L2,3,1968.2007,2005.9907,B29L2,2,RB.A12,127
127,B27L2_0,DCBQ.27L2.L,MB.B28L2,MB.C27L2,3,2005.9907,2043.7807,B27L2,0,RB.A12,128
128,B27L2_1,DCBB.27L2.L,MB.C27L2,MB.A27L2,2,2043.7807,2075.1007,B27L2,1,RB.A12,129
129,B27L2_2,DCBB.A26L2.L,MB.A27L2,MB.B26L2,3,2075.1007,2112.8907,B27L2,2,RB.A12,130
130,B25L2_0,DCBQ.25L2.L,MB.B26L2,MB.C25L2,3,2112.8907,2150.6807,B25L2,0,RB.A12,131
131,B25L2_1,DCBB.25L2.L,MB.C25L2,MB.A25L2,2,2150.6807,2182.0007,B25L2,1,RB.A12,132
132,B25L2_2,DCBB.B24L2.L,MB.A25L2,MB.B24L2,3,2182.0007,2219.7907,B25L2,2,RB.A12,133
133,B23L2_0,DCBQ.23L2.L,MB.B24L2,MB.C23L2,3,2219.7907,2257.5807,B23L2,0,RB.A12,134
134,B23L2_1,DCBB.23L2.L,MB.C23L2,MB.A23L2,2,2257.5807,2288.9007,B23L2,1,RB.A12,135
135,B23L2_2,DCBB.B22L2.L,MB.A23L2,MB.B22L2,3,2288.9007,2326.6907,B23L2,2,RB.A12,136
136,B21L2_0,DCBQ.21L2.L,MB.B22L2,MB.C21L2,3,2326.6907,2364.4807,B21L2,0,RB.A12,137
137,B21L2_1,DCBB.21L2.L,MB.C21L2,MB.A21L2,2,2364.4807,2395.8007,B21L2,1,RB.A12,138
138,B21L2_2,DCBB.B20L2.L,MB.A21L2,MB.B20L2,3,2395.8007,2433.5907,B21L2,2,RB.A12,139
139,B19L2_0,DCBQ.19L2.L,MB.B20L2,MB.C19L2,3,2433.5907,2471.3807,B19L2,0,RB.A12,140
140,B19L2_1,DCBB.19L2.L,MB.C19L2,MB.A19L2,2,2471.3807,2502.7007,B19L2,1,RB.A12,141
141,B19L2_2,DCBB.B18L2.L,MB.A19L2,MB.B18L2,3,2502.7007,2540.4907,B19L2,2,RB.A12,142
142,B17L2_0,DCBQ.17L2.L,MB.B18L2,MB.C17L2,3,2540.4907,2578.2807,B17L2,0,RB.A12,143
143,B17L2_1,DCBB.17L2.L,MB.C17L2,MB.A17L2,2,2578.2807,2609.6007,B17L2,1,RB.A12,144
144,B17L2_2,DCBB.B16L2.L,MB.A17L2,MB.B16L2,3,2609.6007,2647.3907,B17L2,2,RB.A12,145
145,B15L2_0,DCBQ.15L2.L,MB.B16L2,MB.C15L2,3,2647.3907,2685.1807,B15L2,0,RB.A12,146
146,B15L2_1,DCBB.15L2.L,MB.C15L2,MB.A15L2,2,2685.1807,2716.5007,B15L2,1,RB.A12,147
147,B15L2_2,DCBB.B14L2.L,MB.A15L2,MB.B14L2,3,2716.5007,2754.2907,B15L2,2,RB.A12,148
148,B13L2_0,DCBQ.13L2.L,MB.B14L2,MB.C13L2,3,2754.2907,2792.0807,B13L2,0,RB.A12,149
149,B13L2_1,DCBB.13L2.L,MB.C13L2,MB.A13L2,2,2792.0807,2823.4007,B13L2,1,RB.A12,150
150,B13L2_2,DCBB.A12L2.L,MB.A13L2,MB.B12L2,3,2823.4007,2861.1907,B13L2,2,RB.A12,151
151,B11L2_0,DCBQ.11L2.L,MB.B12L2,MB.B11L2,4,2861.1907,2913.0304,B11L2,0,RB.A12,152
152,B11L2_1,DCBQ.10L2.L,MB.B11L2,MB.B10L2,3,2913.0304,2952.0954,B11L2,1,RB.A12,153
153,B11L2_2,DCBQ.9L2.L,MB.B10L2,MB.B9L2,3,2952.0954,2992.5604,B11L2,2,RB.A12,154
154,B9L2_0,DCBQ.8L2.L,MB.B9L2,MB.B8L2,3,2992.5604,3031.6254,B9L2,0,RB.A12,155
155,B9L2_1,DCBD.7L2.L,MB.B8L2,DFLAS.7L2.6,5,3031.6254,3081.9504,B9L2,1,RB.A12,156
156,B9R2_0,DCBA.8R2.R,DFLAS.7R2.5,MB.B8R2,5,3582.6104,3617.4354,B9R2,0,RB.A23,1
157,B9R2_1,DCBA.9R2.R,MB.B8R2,MB.B9R2,3,3617.4354,3656.5004,B9R2,1,RB.A23,2
158,B11R2_0,DCBA.10R2.R,MB.B9R2,MB.B10R2,3,3656.5004,3696.9654,B11R2,0,RB.A23,3
159,B11R2_1,DCBA.11R2.R,MB.B10R2,MB.B11R2,3,3696.9654,3736.0304,B11R2,1,RB.A23,4
160,B11R2_2,DCBA.A12R2.R,MB.B11R2,MB.B12R2,4,3736.0304,3787.8701,B11R2,2,RB.A23,5
161,B13R2_0,DCBQ.12R2.R,MB.B12R2,MB.A13R2,3,3787.8701,3825.6601,B13R2,0,RB.A23,6
162,B13R2_1,DCBA.13R2.R,MB.A13R2,MB.C13R2,2,3825.6601,3856.9801,B13R2,1,RB.A23,7
163,B13R2_2,DCBA.A14R2.R,MB.C13R2,MB.B14R2,3,3856.9801,3894.7701,B13R2,2,RB.A23,8
164,B15R2_0,DCBQ.14R2.R,MB.B14R2,MB.A15R2,3,3894.7701,3932.5601,B15R2,0,RB.A23,9
165,B15R2_1,DCBA.15R2.R,MB.A15R2,MB.C15R2,2,3932.5601,3963.8801,B15R2,1,RB.A23,10
166,B15R2_2,DCBA.A16R2.R,MB.C15R2,MB.B16R2,3,3963.8801,4001.6701,B15R2,2,RB.A23,11
